# PPM1D Profile
# model_number = 55
# num_zones = 200
# time = 5.143953210822003e-01
# step = 136
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000949636490e+00      1.191409071378e-04      1.001335110125e+00      2.503337782415e+00      7.104017710858e-09      2.503337775311e+00      1.183443767608e+00      1.006730614489e-04      1.000005359453e+00      1.000385107922e+00      2.500962769805e+00
                     1      7.500000000000e-03      1.000982925521e+00      3.604089690070e-04      1.001381434388e+00      2.503453650981e+00      6.501115084130e-08      2.503453585970e+00      1.183451462699e+00      3.045405581610e-04      1.000005061225e+00      1.000398117547e+00      2.500995293867e+00
                     2      1.250000000000e-02      1.001049348019e+00      6.067748449846e-04      1.001473875990e+00      2.503684874256e+00      1.842810284802e-07      2.503684689975e+00      1.183466820889e+00      5.127096377141e-04      1.000004473938e+00      1.000424082961e+00      2.501060207401e+00
                     3      1.750000000000e-02      1.001148233321e+00      8.613807493479e-04      1.001611557360e+00      2.504029264815e+00      3.714143789136e-07      2.504028893401e+00      1.183489716771e+00      7.278312072688e-04      1.000003655754e+00      1.000462792645e+00      2.501156981613e+00
                     4      2.250000000000e-02      1.001278526186e+00      1.127023755048e-03      1.001793082453e+00      2.504483342036e+00      6.359032530431e-07      2.504482706132e+00      1.183519944457e+00      9.522642692475e-04      1.000002683410e+00      1.000513899234e+00      2.501284748084e+00
                     5      2.750000000000e-02      1.001438483880e+00      1.405464193135e-03      1.002016103105e+00      2.505041246847e+00      9.890855389846e-07      2.505040257762e+00      1.183557140712e+00      1.187491625701e-03      1.000001643144e+00      1.000576789523e+00      2.501441973806e+00
                     6      3.250000000000e-02      1.001626168458e+00      1.697985056784e-03      1.002277993712e+00      2.505696428201e+00      1.443920872970e-06      2.505694984280e+00      1.183600892952e+00      1.434592578373e-03      1.000000616269e+00      1.000650766997e+00      2.501626917493e+00
                     7      3.750000000000e-02      1.001839062125e+00      2.004849780760e-03      1.002575312510e+00      2.506440294683e+00      2.013407305679e-06      2.506438281275e+00      1.183650648800e+00      1.693785056251e-03      9.999996797067e-01      1.000734898861e+00      2.501837247152e+00
                     8      4.250000000000e-02      1.002074164651e+00      2.325380702317e-03      1.002903918117e+00      2.507262504599e+00      2.709305619560e-06      2.507259795293e+00      1.183705727948e+00      1.964492227598e-03      9.999988867350e-01      1.000828035983e+00      2.502070089959e+00
                     9      4.750000000000e-02      1.002328039280e+00      2.657997122421e-03      1.003259041266e+00      2.508151143864e+00      3.540698090443e-06      2.508147603166e+00      1.183765338003e+00      2.245375022473e-03      9.999982750706e-01      1.000928839612e+00      2.502322099029e+00
                    10      5.250000000000e-02      1.002596279009e+00      2.999587171527e-03      1.003634526351e+00      2.509090826319e+00      4.510441640103e-06      2.509086315877e+00      1.183828442908e+00      2.533802249384e-03      9.999978571237e-01      1.001035558742e+00      2.502588896855e+00
                    11      5.750000000000e-02      1.002874781140e+00      3.347046429147e-03      1.004024629492e+00      2.510067191194e+00      5.617462583228e-06      2.510061573731e+00      1.183894071770e+00      2.827150256900e-03      9.999976327362e-01      1.001146552266e+00      2.502866380665e+00
                    12      6.250000000000e-02      1.003158375057e+00      3.695680533147e-03      1.004422083158e+00      2.511062058491e+00      6.850595931034e-06      2.511055207895e+00      1.183960988025e+00      3.121454651401e-03      9.999975774659e-01      1.001259729403e+00      2.503149323508e+00
                    13      6.750000000000e-02      1.003441440519e+00      4.039992260448e-03      1.004818984854e+00      2.512055650989e+00      8.188853532418e-06      2.512047462135e+00      1.184027849250e+00      3.412075368840e-03      9.999976654794e-01      1.001372819858e+00      2.503432049644e+00
                    14      7.250000000000e-02      1.003718168118e+00      4.374008527188e-03      1.005207138864e+00      2.513027448704e+00      9.601543202326e-06      2.513017847161e+00      1.184093255203e+00      3.693973010969e-03      9.999978466545e-01      1.001483455012e+00      2.503708637529e+00
                    15      7.750000000000e-02      1.003982693741e+00      4.691515470868e-03      1.005578290823e+00      2.513956776047e+00      1.104898888340e-05      2.513945727058e+00      1.184155806692e+00      3.961907245950e-03      9.999980924448e-01      1.001589267517e+00      2.503973168791e+00
                    16      8.250000000000e-02      1.004228823912e+00      4.985748096644e-03      1.005923717577e+00      2.514821775344e+00      1.248140142602e-05      2.514809293943e+00      1.184214025849e+00      4.210174839866e-03      9.999983707556e-01      1.001687756440e+00      2.504219391101e+00
                    17      8.750000000000e-02      1.004450116390e+00      5.249523440317e-03      1.006234348794e+00      2.515599712051e+00      1.384006520831e-05      2.515585871986e+00      1.184266379898e+00      4.432721834737e-03      9.999986541768e-01      1.001776327540e+00      2.504440818850e+00
                    18      9.250000000000e-02      1.004640580469e+00      5.476094712151e-03      1.006501752281e+00      2.516269444089e+00      1.506338661451e-05      2.516254380702e+00      1.184311447511e+00      4.623863700431e-03      9.999989224215e-01      1.001852574790e+00      2.504631436974e+00
                    19      9.750000000000e-02      1.004794832775e+00      5.659356121899e-03      1.006718353606e+00      2.516811974956e+00      1.609094105661e-05      2.516795884015e+00      1.184347955051e+00      4.778457291847e-03      9.999991621934e-01      1.001914341882e+00      2.504785854704e+00
                    20      1.025000000000e-01      1.004907647690e+00      5.793329401770e-03      1.006876806057e+00      2.517208878832e+00      1.686368964776e-05      2.517192015142e+00      1.184374669721e+00      4.891466822010e-03      9.999993664520e-01      1.001959541626e+00      2.504898854066e+00
                    21      1.075000000000e-01      1.004974937178e+00      5.873331422852e-03      1.006971365511e+00      2.517445747596e+00      1.733381877251e-05      2.517428413777e+00      1.184390629629e+00      4.958947897700e-03      9.999995335950e-01      1.001986545394e+00      2.504966363486e+00
                    22      1.125000000000e-01      1.004994019575e+00      5.896299086527e-03      1.006998266582e+00      2.517513136440e+00      1.746998335742e-05      2.517495666456e+00      1.184395205367e+00      4.978320631330e-03      9.999996652174e-01      1.001994287497e+00      2.504985718743e+00
                    23      1.175000000000e-01      1.004962823714e+00      5.859858699528e-03      1.006954606438e+00      2.517403770274e+00      1.725417857055e-05      2.517386516096e+00      1.184387911683e+00      4.947584015105e-03      9.999997654088e-01      1.001981946673e+00      2.504954866682e+00
                    24      1.225000000000e-01      1.004881271655e+00      5.763960710671e-03      1.006840283548e+00      2.517117401578e+00      1.669270737443e-05      2.517100708871e+00      1.184368732374e+00      4.866694428110e-03      9.999998393236e-01      1.001949495875e+00      2.504873739687e+00
                    25      1.275000000000e-01      1.004750667532e+00      5.610164221711e-03      1.006657139349e+00      2.516658660104e+00      1.581173241587e-05      2.516642848371e+00      1.184337975697e+00      4.736962198996e-03      9.999998922387e-01      1.001897457627e+00      2.504743644066e+00
                    26      1.325000000000e-01      1.004574378607e+00      5.402444586445e-03      1.006409912311e+00      2.516039440737e+00      1.465995859387e-05      2.516024780779e+00      1.184296434900e+00      4.561733386373e-03      9.999999290837e-01      1.001827175512e+00      2.504567938780e+00
                    27      1.375000000000e-01      1.004357208800e+00      5.146460062041e-03      1.006105357369e+00      2.515276694151e+00      1.330072821271e-05      2.515263393423e+00      1.184245240815e+00      4.345772213955e-03      9.999999540786e-01      1.001740564566e+00      2.504351411415e+00
                    28      1.425000000000e-01      1.004105027874e+00      4.849119556564e-03      1.005751723961e+00      2.514391115146e+00      1.180524296851e-05      2.514379309903e+00      1.184185774946e+00      4.094897658083e-03      9.999999706235e-01      1.001639963990e+00      2.504099909974e+00
                    29      1.475000000000e-01      1.003824889597e+00      4.518726639571e-03      1.005358919871e+00      2.513407548172e+00      1.024849522240e-05      2.513397299677e+00      1.184119697999e+00      3.816106300071e-03      9.999999813257e-01      1.001528185135e+00      2.503820462837e+00
                    30      1.525000000000e-01      1.003524707390e+00      4.164601365856e-03      1.004938054532e+00      2.512353838848e+00      8.702518362487e-06      2.512345136330e+00      1.184048874078e+00      3.517254614255e-03      9.999999880967e-01      1.001408383004e+00      2.503520957511e+00
                    31      1.575000000000e-01      1.003212686233e+00      3.796413524385e-03      1.004500641103e+00      2.511258832286e+00      7.229529654893e-06      2.511251602756e+00      1.183975237264e+00      3.206497403743e-03      9.999999922862e-01      1.001283830325e+00      2.503209575813e+00
                    32      1.625000000000e-01      1.002896502821e+00      3.423217048724e-03      1.004057446511e+00      2.510149492456e+00      5.876178692338e-06      2.510143616277e+00      1.183900598452e+00      2.891473366261e-03      9.999999948173e-01      1.001157590725e+00      2.502893976812e+00
                    33      1.675000000000e-01      1.002583291883e+00      3.053434096310e-03      1.003618472513e+00      2.509050855054e+00      4.673772499239e-06      2.509046181281e+00      1.183826642159e+00      2.579291585077e-03      9.999999963032e-01      1.001032513346e+00      2.502581283366e+00
                    34      1.725000000000e-01      1.002279536907e+00      2.694725530390e-03      1.003192803101e+00      2.507985646801e+00      3.639049322764e-06      2.507982007752e+00      1.183754900622e+00      2.276421858085e-03      9.999999971415e-01      1.000911189104e+00      2.502277972760e+00
                    35      1.775000000000e-01      1.001990517297e+00      2.353336712972e-03      1.002787830758e+00      2.506972351504e+00      2.774608777474e-06      2.506969576896e+00      1.183686622957e+00      1.988141681532e-03      9.999999975856e-01      1.000795729548e+00      2.501989323869e+00
                    36      1.825000000000e-01      1.001720228870e+00      2.034001401108e-03      1.002409146496e+00      2.506024938379e+00      2.072139282353e-06      2.506022866240e+00      1.183622755945e+00      1.718454119686e-03      9.999999977958e-01      1.000687734565e+00      2.501719336413e+00
                    37      1.875000000000e-01      1.001471507656e+00      1.740085783232e-03      1.002060714701e+00      2.505153302930e+00      1.516177054440e-06      2.505151786753e+00      1.183563972844e+00      1.470208474706e-03      9.999999978714e-01      1.000588341296e+00      2.501470853241e+00
                    38      1.925000000000e-01      1.001246160767e+00      1.473741210834e-03      1.001745057652e+00      2.504363731439e+00      1.087309854738e-06      2.504362644129e+00      1.183510703937e+00      1.245228459643e-03      9.999999978738e-01      1.000498275953e+00      2.501245689883e+00
                    39      1.975000000000e-01      1.001044914873e+00      1.235841750085e-03      1.001463184312e+00      2.503658725232e+00      7.644503673940e-07      2.503657960781e+00      1.183463124046e+00      1.044258773236e-03      9.999999978401e-01      1.000417832840e+00      2.501044582099e+00
                    40      2.025000000000e-01      1.000867499186e+00      1.026080994355e-03      1.001214707329e+00      2.503037295201e+00      5.268777733673e-07      2.503036768324e+00      1.183421171892e+00      8.670463388066e-04      9.999999977923e-01      1.000346907201e+00      2.500867268003e+00
                    41      2.075000000000e-01      1.000713131901e+00      8.435464242122e-04      1.000998524778e+00      2.502496667983e+00      3.560390067372e-07      2.502496311944e+00      1.183384664975e+00      7.128252115976e-04      9.999999977427e-01      1.000285189499e+00      2.500712973747e+00
                    42      2.125000000000e-01      1.000580588210e+00      6.867995961951e-04      1.000812915561e+00      2.502032524887e+00      2.359837725630e-07      2.502032288903e+00      1.183353315608e+00      5.803842243364e-04      9.999999976975e-01      1.000232192543e+00      2.500580481359e+00
                    43      2.175000000000e-01      1.000468164835e+00      5.538341288505e-04      1.000655489791e+00      2.501638877915e+00      1.534379217646e-07      2.501638724477e+00      1.183326722515e+00      4.680314559901e-04      9.999999976594e-01      1.000187237298e+00      2.500468093245e+00
                    44      2.225000000000e-01      1.000373967265e+00      4.424154925501e-04      1.000523590954e+00      2.501309075287e+00      9.790233260500e-08      2.501308977385e+00      1.183304438789e+00      3.738813766327e-04      9.999999976293e-01      1.000149567756e+00      2.500373919390e+00
                    45      2.275000000000e-01      1.000295748309e+00      3.498902811218e-04      1.000414069727e+00      2.501035235547e+00      6.122970764023e-08      2.501035174317e+00      1.183285933749e+00      2.956937720143e-04      9.999999976064e-01      1.000118286435e+00      2.500295716088e+00
                    46      2.325000000000e-01      1.000231545120e+00      2.739399952194e-04      1.000324175767e+00      2.500810476949e+00      3.753024842463e-08      2.500810439419e+00      1.183270743696e+00      2.315108327312e-04      9.999999975896e-01      1.000092609204e+00      2.500231523011e+00
                    47      2.375000000000e-01      1.000179747544e+00      2.126623024942e-04      1.000251653184e+00      2.500629155578e+00      2.261669201531e-08      2.500629132961e+00      1.183258488161e+00      1.797259893945e-04      9.999999975777e-01      1.000071892718e+00      2.500179731796e+00
                    48      2.425000000000e-01      1.000138128895e+00      1.634246704045e-04      1.000193383365e+00      2.500483471767e+00      1.335565599564e-08      2.500483458412e+00      1.183248640639e+00      1.381152403575e-04      9.999999975694e-01      1.000055246838e+00      2.500138117095e+00
                    49      2.475000000000e-01      1.000105044225e+00      1.242821325990e-04      1.000147062568e+00      2.500367664145e+00      7.723835500773e-09      2.500367656421e+00      1.183240812135e+00      1.050353667017e-04      9.999999975640e-01      1.000042013930e+00      2.500105034825e+00
                    50      2.525000000000e-01      1.000079204021e+00      9.370981528300e-05      1.000110884946e+00      2.500277216756e+00      4.391112506410e-09      2.500277212365e+00      1.183234697675e+00      7.919799467268e-05      9.999999975605e-01      1.000031678416e+00      2.500079196040e+00
                    51      2.575000000000e-01      1.000059133667e+00      6.996354359813e-05      1.000082785671e+00      2.500206966625e+00      2.447593443022e-09      2.500206964178e+00      1.183229948424e+00      5.912928733026e-05      9.999999975582e-01      1.000023650605e+00      2.500059126514e+00
                    52      2.625000000000e-01      1.000043698881e+00      5.170159171403e-05      1.000061176525e+00      2.500152942650e+00      1.336585697629e-09      2.500152941313e+00      1.183226296037e+00      4.369543838504e-05      9.999999975569e-01      1.000017476880e+00      2.500043692201e+00
                    53      2.675000000000e-01      1.000031999813e+00      3.785947222536e-05      1.000044797581e+00      2.500111994670e+00      7.166927518916e-10      2.500111993953e+00      1.183223527615e+00      3.199688929586e-05      9.999999975561e-01      1.000012797358e+00      2.500031993396e+00
                    54      2.725000000000e-01      1.000023207618e+00      2.745662455033e-05      1.000032488372e+00      2.500081221306e+00      3.769418635686e-10      2.500081220929e+00      1.183221447048e+00      2.320497538211e-05      9.999999975555e-01      1.000009280538e+00      2.500023201345e+00
                    55      2.775000000000e-01      1.000016665237e+00      1.971568873111e-05      1.000023328964e+00      2.500058322606e+00      1.943574300296e-10      2.500058322411e+00      1.183219898862e+00      1.666274269903e-05      9.999999975551e-01      1.000006663616e+00      2.500016659041e+00
                    56      2.825000000000e-01      1.000011854588e+00      1.402370865056e-05      1.000016594016e+00      2.500041485139e+00      9.833336784566e-11      2.500041485041e+00      1.183218760467e+00      1.185216894721e-05      9.999999975544e-01      1.000004739373e+00      2.500011848431e+00
                    57      2.875000000000e-01      1.000008352278e+00      9.879746604557e-06      1.000011690762e+00      2.500029226954e+00      4.880510411553e-11      2.500029226905e+00      1.183217931675e+00      8.349895940613e-06      9.999999975530e-01      1.000003338456e+00      2.500008346140e+00
                    58      2.925000000000e-01      1.000005828160e+00      6.893178733889e-06      1.000008156983e+00      2.500020392481e+00      2.375809499383e-11      2.500020392457e+00      1.183217334362e+00      5.825792551973e-06      9.999999975500e-01      1.000002328810e+00      2.500005822024e+00
                    59      2.975000000000e-01      1.000004028420e+00      4.763697152763e-06      1.000005637336e+00      2.500014093351e+00      1.134645098971e-11      2.500014093340e+00      1.183216908463e+00      4.026055678117e-06      9.999999975437e-01      1.000001608910e+00      2.500004022274e+00
                    60      3.025000000000e-01      1.000002758222e+00      3.260769264260e-06      1.000003859044e+00      2.500009647616e+00      5.316322760933e-12      2.500009647610e+00      1.183216607873e+00      2.755851500532e-06      9.999999975305e-01      1.000001100819e+00      2.500002752046e+00
                    61      3.075000000000e-01      1.000001870829e+00      2.210767933667e-06      1.000002616665e+00      2.500006541666e+00      2.443752000099e-12      2.500006541663e+00      1.183216397862e+00      1.868439228583e-06      9.999999975035e-01      1.000000745835e+00      2.500001864587e+00
                    62      3.125000000000e-01      1.000001257217e+00      1.484686192008e-06      1.000001757554e+00      2.500004393887e+00      1.102147930008e-12      2.500004393886e+00      1.183216252623e+00      1.254788538204e-06      9.999999974497e-01      1.000000500336e+00      2.500001250841e+00
                    63      3.175000000000e-01      1.000000837225e+00      9.876549234809e-07      1.000001169460e+00      2.500002923651e+00      4.877315322788e-13      2.500002923651e+00      1.183216153173e+00      8.347206221219e-07      9.999999973447e-01      1.000000332235e+00      2.500000830587e+00
                    64      3.225000000000e-01      1.000000552694e+00      6.508223603082e-07      1.000000770916e+00      2.500001927289e+00      2.117849893908e-13      2.500001927289e+00      1.183216085722e+00      5.500452268710e-07      9.999999971443e-01      1.000000218222e+00      2.500000545554e+00
                    65      3.275000000000e-01      1.000000361966e+00      4.248323867940e-07      1.000000503522e+00      2.500001258805e+00      9.024131109877e-14      2.500001258804e+00      1.183216040366e+00      3.590488738326e-07      9.999999967699e-01      1.000000141556e+00      2.500000353890e+00
                    66      3.325000000000e-01      1.000000235581e+00      2.747123184573e-07      1.000000325898e+00      2.500000814745e+00      3.773343784535e-14      2.500000814745e+00      1.183216010053e+00      2.321742742858e-07      9.999999960854e-01      1.000000090318e+00      2.500000225794e+00
                    67      3.375000000000e-01      1.000000153006e+00      1.759732172768e-07      1.000000209069e+00      2.500000522673e+00      1.548328896842e-14      2.500000522673e+00      1.183215989787e+00      1.487245091308e-07      9.999999948603e-01      1.000000056063e+00      2.500000140157e+00
                    68      3.425000000000e-01      1.000000100189e+00      1.116652739660e-07      1.000000132980e+00      2.500000332449e+00      6.234567329585e-15      2.500000332449e+00      1.183215976019e+00      9.437437985049e-08      9.999999927146e-01      1.000000032790e+00      2.500000081976e+00
                    69      3.475000000000e-01      1.000000067763e+00      7.018987148403e-08      1.000000083906e+00      2.500000209764e+00      2.463309196395e-15      2.500000209764e+00      1.183215966170e+00      5.932126804479e-08      9.999999890370e-01      1.000000016142e+00      2.500000040356e+00
                    70      3.525000000000e-01      1.000000049781e+00      4.369915810049e-08      1.000000052562e+00      2.500000131404e+00      9.548082568768e-16      2.500000131404e+00      1.183215958265e+00      3.693252934533e-08      9.999999828685e-01      1.000000002781e+00      2.500000006952e+00
                    71      3.575000000000e-01      1.000000042850e+00      2.694206516579e-08      1.000000032735e+00      2.500000081837e+00      3.629374532507e-16      2.500000081837e+00      1.183215950636e+00      2.277020112120e-08      9.999999727445e-01      9.999999898846e-01      2.499999974712e+00
                    72      3.625000000000e-01      1.000000045590e+00      1.644341481257e-08      1.000000020313e+00      2.500000050782e+00      1.351929515127e-16      2.500000050782e+00      1.183215941666e+00      1.389722216675e-08      9.999999564864e-01      9.999999747226e-01      2.499999936806e+00
