# PPM1D Profile
# model_number = 15
# num_zones = 200
# time = 1.399663261476364e-01
# step = 37
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000000000002e+00     -5.561482825092e-13      1.000000000003e+00      2.500000000007e+00      1.546504560693e-25      2.500000000007e+00      1.183215956620e+00      4.700310872224e-13      1.000000000000e+00      1.000000000001e+00      2.500000000002e+00
                     1      7.500000000000e-03      1.000000000003e+00     -2.430766783162e-12      1.000000000004e+00      2.500000000010e+00      2.954313577070e-24      2.500000000010e+00      1.183215956621e+00      2.054372889041e-12      1.000000000000e+00      1.000000000001e+00      2.500000000003e+00
                     2      1.250000000000e-02      1.000000000005e+00     -5.354134107735e-12      1.000000000007e+00      2.500000000017e+00      1.433337602187e-23      2.500000000017e+00      1.183215956621e+00      4.525069221535e-12      1.000000000000e+00      1.000000000002e+00      2.500000000005e+00
                     3      1.750000000000e-02      1.000000000009e+00     -1.052022729403e-11      1.000000000013e+00      2.500000000032e+00      5.533759115952e-23      2.500000000032e+00      1.183215956622e+00      8.891214858244e-12      1.000000000000e+00      1.000000000004e+00      2.500000000009e+00
                     4      2.250000000000e-02      1.000000000017e+00     -1.996576652535e-11      1.000000000024e+00      2.500000000059e+00      1.993159164758e-22      2.500000000059e+00      1.183215956624e+00      1.687415252776e-11      1.000000000000e+00      1.000000000007e+00      2.500000000017e+00
                     5      2.750000000000e-02      1.000000000032e+00     -3.727360647152e-11      1.000000000044e+00      2.500000000110e+00      6.946608697187e-22      2.500000000110e+00      1.183215956627e+00      3.150194709828e-11      1.000000000000e+00      1.000000000013e+00      2.500000000032e+00
                     6      3.250000000000e-02      1.000000000058e+00     -6.876327162972e-11      1.000000000081e+00      2.500000000203e+00      2.364193762749e-21      2.500000000203e+00      1.183215956634e+00      5.811557158623e-11      1.000000000000e+00      1.000000000023e+00      2.500000000058e+00
                     7      3.750000000000e-02      1.000000000106e+00     -1.255201215932e-10      1.000000000149e+00      2.500000000371e+00      7.877650463218e-21      2.500000000371e+00      1.183215956645e+00      1.060838648163e-10      1.000000000000e+00      1.000000000042e+00      2.500000000106e+00
                     8      4.250000000000e-02      1.000000000192e+00     -2.267883182573e-10      1.000000000268e+00      2.500000000671e+00      2.571647065393e-20      2.500000000671e+00      1.183215956665e+00      1.916711120906e-10      1.000000000000e+00      1.000000000077e+00      2.500000000192e+00
                     9      4.750000000000e-02      1.000000000343e+00     -4.056135710353e-10      1.000000000480e+00      2.500000001200e+00      8.226118453219e-20      2.500000001200e+00      1.183215956701e+00      3.428060353126e-10      1.000000000000e+00      1.000000000137e+00      2.500000000343e+00
                    10      5.250000000000e-02      1.000000000607e+00     -7.181243105941e-10      1.000000000850e+00      2.500000002124e+00      2.578512628896e-19      2.500000002124e+00      1.183215956764e+00      6.069258164489e-10      1.000000000000e+00      1.000000000243e+00      2.500000000607e+00
                    11      5.750000000000e-02      1.000000001064e+00     -1.258601843930e-09      1.000000001489e+00      2.500000003723e+00      7.920393016143e-19      2.500000003723e+00      1.183215956872e+00      1.063712703180e-09      1.000000000000e+00      1.000000000425e+00      2.500000001064e+00
                    12      6.250000000000e-02      1.000000001846e+00     -2.183640620912e-09      1.000000002584e+00      2.500000006459e+00      2.384143185050e-18      2.500000006459e+00      1.183215957057e+00      1.845513160881e-09      1.000000000000e+00      1.000000000738e+00      2.500000001846e+00
                    13      6.750000000000e-02      1.000000003170e+00     -3.750415617754e-09      1.000000004438e+00      2.500000011094e+00      7.032808675240e-18      2.500000011094e+00      1.183215957370e+00      3.169679714336e-09      1.000000000000e+00      1.000000001268e+00      2.500000003170e+00
                    14      7.250000000000e-02      1.000000005389e+00     -6.376538022020e-09      1.000000007545e+00      2.500000018862e+00      2.033011868269e-17      2.500000018862e+00      1.183215957895e+00      5.389158233940e-09      1.000000000000e+00      1.000000002156e+00      2.500000005389e+00
                    15      7.750000000000e-02      1.000000009071e+00     -1.073246571093e-08      1.000000012699e+00      2.500000031747e+00      5.759291064058e-17      2.500000031747e+00      1.183215958766e+00      9.070589042868e-09      1.000000000000e+00      1.000000003628e+00      2.500000009071e+00
                    16      8.250000000000e-02      1.000000015113e+00     -1.788235464084e-08      1.000000021159e+00      2.500000052897e+00      1.598893061669e-16      2.500000052897e+00      1.183215960196e+00      1.511334806359e-08      1.000000000000e+00      1.000000006045e+00      2.500000015113e+00
