# PPM1D Profile
# model_number = 92
# num_zones = 200
# time = 8.585424692626700e-01
# step = 227
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961304754e-01     -2.142400277604e-10      1.000000001472e+00      2.500000003679e+00      2.294930594413e-20      2.500000003679e+00      1.183218246739e+00      1.810655205418e-10      1.000005418831e+00      1.000003871011e+00      2.500009677528e+00
                     1      7.500000000000e-03      9.999963582112e-01     -2.143872072849e-10      1.000000001472e+00      2.500000003679e+00      2.298085363199e-20      2.500000003679e+00      1.183218112008e+00      1.811899303342e-10      1.000005099998e+00      1.000003643274e+00      2.500009108185e+00
                     2      1.250000000000e-02      9.999967884547e-01     -2.145615160047e-10      1.000000001472e+00      2.500000003680e+00      2.301824815073e-20      2.500000003680e+00      1.183217857471e+00      1.813372868318e-10      1.000004497653e+00      1.000003213027e+00      2.500008032569e+00
                     3      1.750000000000e-02      9.999973804780e-01     -2.147363457875e-10      1.000000001472e+00      2.500000003680e+00      2.305578870577e-20      2.500000003680e+00      1.183217507224e+00      1.814850984510e-10      1.000003668814e+00      1.000002621001e+00      2.500006552502e+00
                     4      2.250000000000e-02      9.999980802314e-01     -2.149322757455e-10      1.000000001472e+00      2.500000003680e+00      2.309789723587e-20      2.500000003680e+00      1.183217093243e+00      1.816507528271e-10      1.000002689154e+00      1.000001921244e+00      2.500004803111e+00
                     5      2.750000000000e-02      9.999988267364e-01     -2.151542321159e-10      1.000000001472e+00      2.500000003680e+00      2.314564464272e-20      2.500000003680e+00      1.183216651604e+00      1.818384078895e-10      1.000001644044e+00      1.000001174737e+00      2.500002936843e+00
                     6      3.250000000000e-02      9.999995624339e-01     -2.154448520592e-10      1.000000001472e+00      2.500000003681e+00      2.320823198427e-20      2.500000003681e+00      1.183216216359e+00      1.820840934062e-10      1.000000614065e+00      1.000000439039e+00      2.500001097597e+00
                     7      3.750000000000e-02      1.000000232862e+00     -2.157988642915e-10      1.000000001473e+00      2.500000003681e+00      2.328458033683e-20      2.500000003681e+00      1.183215819728e+00      1.823833494223e-10      9.999996754665e-01      9.999997686110e-01      2.499999421528e+00
                     8      4.250000000000e-02      1.000000800299e+00     -2.162557656006e-10      1.000000001473e+00      2.500000003682e+00      2.338329679137e-20      2.500000003682e+00      1.183215484028e+00      1.827695534075e-10      9.999988810551e-01      9.999992011743e-01      2.499998002936e+00
                     9      4.750000000000e-02      1.000001238120e+00     -2.168018426347e-10      1.000000001473e+00      2.500000003682e+00      2.350154858261e-20      2.500000003682e+00      1.183215225010e+00      1.832311130317e-10      9.999982681075e-01      9.999987633545e-01      2.499996908386e+00
                    10      5.250000000000e-02      1.000001537611e+00     -2.175023666864e-10      1.000000001473e+00      2.500000003683e+00      2.365367612718e-20      2.500000003683e+00      1.183215047830e+00      1.838231918072e-10      9.999978488223e-01      9.999984638650e-01      2.499996159663e+00
                    11      5.750000000000e-02      1.000001699037e+00     -2.183920615176e-10      1.000000001474e+00      2.500000003684e+00      2.384758678480e-20      2.500000003684e+00      1.183214952330e+00      1.845751366543e-10      9.999976228274e-01      9.999983024401e-01      2.499995756100e+00
                    12      6.250000000000e-02      1.000001739741e+00     -2.195418882104e-10      1.000000001474e+00      2.500000003686e+00      2.409936226607e-20      2.500000003686e+00      1.183214928249e+00      1.855469221770e-10      9.999975658426e-01      9.999982617368e-01      2.499995654342e+00
                    13      6.750000000000e-02      1.000001678222e+00     -2.209545083633e-10      1.000000001475e+00      2.500000003687e+00      2.441048834918e-20      2.500000003687e+00      1.183214964644e+00      1.867407994030e-10      9.999976519693e-01      9.999983232561e-01      2.499995808140e+00
                    14      7.250000000000e-02      1.000001549804e+00     -2.227407199284e-10      1.000000001476e+00      2.500000003689e+00      2.480675260266e-20      2.500000003689e+00      1.183215040617e+00      1.882504128853e-10      9.999978317538e-01      9.999984516739e-01      2.499996129185e+00
                    15      7.750000000000e-02      1.000001375135e+00     -2.249843109126e-10      1.000000001477e+00      2.500000003692e+00      2.530900488167e-20      2.500000003692e+00      1.183215143953e+00      1.901465782130e-10      9.999980762903e-01      9.999986263431e-01      2.499996565858e+00
                    16      8.250000000000e-02      1.000001176898e+00     -2.278211578905e-10      1.000000001478e+00      2.500000003695e+00      2.595127053325e-20      2.500000003695e+00      1.183215261232e+00      1.925441340684e-10      9.999983538224e-01      9.999988245808e-01      2.499997061452e+00
                    17      8.750000000000e-02      1.000000974574e+00     -2.313283043166e-10      1.000000001479e+00      2.500000003698e+00      2.675641826507e-20      2.500000003698e+00      1.183215380930e+00      1.955081957562e-10      9.999986370776e-01      9.999990269065e-01      2.499997567266e+00
                    18      9.250000000000e-02      1.000000782649e+00     -2.357094155862e-10      1.000000001481e+00      2.500000003703e+00      2.777948603955e-20      2.500000003703e+00      1.183215494475e+00      1.992108932707e-10      9.999989057739e-01      9.999992188331e-01      2.499998047083e+00
                    19      9.750000000000e-02      1.000000610663e+00     -2.411372179173e-10      1.000000001483e+00      2.500000003709e+00      2.907359668662e-20      2.500000003709e+00      1.183215596225e+00      2.037982077711e-10      9.999991465558e-01      9.999993908207e-01      2.499998477052e+00
                    20      1.025000000000e-01      1.000000463735e+00     -2.478778356143e-10      1.000000001486e+00      2.500000003715e+00      3.072172494113e-20      2.500000003715e+00      1.183215683150e+00      2.094950558417e-10      9.999993522581e-01      9.999995377518e-01      2.499998844379e+00
