# PPM1D Profile
# model_number = 23
# num_zones = 200
# time = 2.155789989987748e-01
# step = 57
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000000063498e+00     -1.549584130216e-08      1.000000088897e+00      2.500000222242e+00      1.200605564544e-16      2.500000222242e+00      1.183215971646e+00      1.309637604080e-08      1.000000000000e+00      1.000000025399e+00      2.500000063498e+00
                     1      7.500000000000e-03      1.000000077387e+00     -5.520778162075e-08      1.000000108342e+00      2.500000270854e+00      1.523949693676e-15      2.500000270854e+00      1.183215974933e+00      4.665909080874e-08      1.000000000000e+00      1.000000030955e+00      2.500000077387e+00
                     2      1.250000000000e-02      1.000000108711e+00     -1.066747345868e-07      1.000000152196e+00      2.500000380490e+00      5.689750118127e-15      2.500000380490e+00      1.183215982346e+00      9.015660384790e-08      1.000000000000e+00      1.000000043485e+00      2.500000108711e+00
                     3      1.750000000000e-02      1.000000163351e+00     -1.801491297577e-07      1.000000228692e+00      2.500000571729e+00      1.622685712691e-14      2.500000571729e+00      1.183215995276e+00      1.522537985262e-07      1.000000000000e+00      1.000000065340e+00      2.500000163351e+00
                     4      2.250000000000e-02      1.000000251196e+00     -2.894407580627e-07      1.000000351675e+00      2.500000879187e+00      4.188798673607e-14      2.500000879187e+00      1.183216016064e+00      2.446220758790e-07      1.000000000000e+00      1.000000100478e+00      2.500000251196e+00
                     5      2.750000000000e-02      1.000000387472e+00     -4.538990382868e-07      1.000000542461e+00      2.500001356154e+00      1.030122083932e-13      2.500001356153e+00      1.183216048313e+00      3.836146736973e-07      1.000000000000e+00      1.000000154989e+00      2.500000387472e+00
                     6      3.250000000000e-02      1.000000594673e+00     -7.009737798328e-07      1.000000832543e+00      2.500002081357e+00      2.456822661072e-13      2.500002081357e+00      1.183216097345e+00      5.924309020183e-07      1.000000000000e+00      1.000000237869e+00      2.500000594673e+00
                     7      3.750000000000e-02      1.000000905235e+00     -1.069560417803e-06      1.000001267329e+00      2.500003168323e+00      5.719802614414e-13      2.500003168323e+00      1.183216170838e+00      9.039433741392e-07      1.000000000000e+00      1.000000362094e+00      2.500000905235e+00
                     8      4.250000000000e-02      1.000001365120e+00     -1.614359398123e-06      1.000001911168e+00      2.500004777922e+00      1.303079912012e-12      2.500004777921e+00      1.183216279666e+00      1.364382341476e-06      1.000000000000e+00      1.000000546048e+00      2.500001365119e+00
                     9      4.750000000000e-02      1.000002038507e+00     -2.411500206020e-06      1.000002853911e+00      2.500007134782e+00      2.907672549116e-12      2.500007134779e+00      1.183216439018e+00      2.038088828465e-06      1.000000000000e+00      1.000000815402e+00      2.500002038506e+00
                    10      5.250000000000e-02      1.000003013797e+00     -3.565692793588e-06      1.000004219318e+00      2.500010548302e+00      6.357101708077e-12      2.500010548296e+00      1.183216669814e+00      3.013558619107e-06      1.000000000000e+00      1.000001205518e+00      2.500003013794e+00
                    11      5.750000000000e-02      1.000004411137e+00     -5.219165671336e-06      1.000006175597e+00      2.500015439007e+00      1.361990523143e-11      2.500015438993e+00      1.183217000484e+00      4.410996181767e-06      1.000000000000e+00      1.000001764452e+00      2.500004411131e+00
                    12      6.250000000000e-02      1.000006391670e+00     -7.562622297778e-06      1.000008948349e+00      2.500022370901e+00      2.859681078963e-11      2.500022370873e+00      1.183217469161e+00      6.391574241327e-06      1.000000000000e+00      1.000002556663e+00      2.500006391658e+00
                    13      6.750000000000e-02      1.000009168632e+00     -1.084838586035e-05      1.000012836108e+00      2.500032090329e+00      5.884427740412e-11      2.500032090270e+00      1.183218126306e+00      9.168542654277e-06      1.000000000000e+00      1.000003667443e+00      2.500009168607e+00
                    14      7.250000000000e-02      1.000013020364e+00     -1.540579761647e-05      1.000018228557e+00      2.500045571512e+00      1.186708452173e-10      2.500045571393e+00      1.183219037784e+00      1.302024149757e-05      1.000000000000e+00      1.000005208125e+00      2.500013020314e+00
                    15      7.750000000000e-02      1.000018305152e+00     -2.165877617924e-05      1.000025627307e+00      2.500064068502e+00      2.345555862883e-10      2.500064068267e+00      1.183220288378e+00      1.830493982565e-05      1.000000000000e+00      1.000007322021e+00      2.500018305052e+00
                    16      8.250000000000e-02      1.000025477633e+00     -3.014522787010e-05      1.000035668869e+00      2.500089172626e+00      4.543789578755e-10      2.500089172171e+00      1.183221985667e+00      2.547723777555e-05      1.000000000001e+00      1.000010190976e+00      2.500025477440e+00
                    17      8.750000000000e-02      1.000035106275e+00     -4.153771824618e-05      1.000049149131e+00      2.500122873691e+00      8.627213044177e-10      2.500122872828e+00      1.183224264165e+00      3.510553282602e-05      1.000000000001e+00      1.000014042363e+00      2.500035105908e+00
                    18      9.250000000000e-02      1.000047891141e+00     -5.666447469135e-05      1.000067048241e+00      2.500167622207e+00      1.605508231962e-09      2.500167620602e+00      1.183227289516e+00      4.788976318702e-05      1.000000000002e+00      1.000019156183e+00      2.500047890457e+00
                    19      9.750000000000e-02      1.000064680822e+00     -7.652939961065e-05      1.000090554324e+00      2.500226388739e+00      2.928563912052e-09      2.500226385811e+00      1.183231262502e+00      6.467831102506e-05      1.000000000003e+00      1.000025871829e+00      2.500064679573e+00
                    20      1.025000000000e-01      1.000086487079e+00     -1.023293520830e-04      1.000121084009e+00      2.500302715260e+00      5.236100964778e-09      2.500302710024e+00      1.183236422493e+00      8.648259142277e-05      1.000000000005e+00      1.000034593939e+00      2.500086484846e+00
                    21      1.075000000000e-01      1.000114495358e+00     -1.354665313204e-04      1.000160297179e+00      2.500400752124e+00      9.176641116517e-09      2.500400742947e+00      1.183243049930e+00      1.144874937811e-04      1.000000000008e+00      1.000045796578e+00      2.500114491444e+00
                    22      1.125000000000e-01      1.000150069023e+00     -1.775534066635e-04      1.000210102950e+00      2.500525273140e+00      1.576497158780e-08      2.500525257375e+00      1.183251467308e+00      1.500555136157e-04      1.000000000012e+00      1.000060024919e+00      2.500150062298e+00
