# PPM1D Profile
# model_number = 28
# num_zones = 200
# time = 2.609464989131307e-01
# step = 69
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000006771569e+00     -1.420717240014e-06      1.000009480212e+00      2.500023700532e+00      1.009225572030e-12      2.500023700531e+00      1.183217559063e+00      1.200723594010e-06      1.000000000003e+00      1.000002708625e+00      2.500006771563e+00
                     1      7.500000000000e-03      1.000007678095e+00     -4.622957990911e-06      1.000010749351e+00      2.500026873388e+00      1.068595233999e-11      2.500026873377e+00      1.183217773584e+00      3.907106615638e-06      1.000000000002e+00      1.000003071232e+00      2.500007678081e+00
                     2      1.250000000000e-02      1.000009597110e+00     -8.364421018381e-06      1.000013435981e+00      2.500033589986e+00      3.498210521026e-11      2.500033589951e+00      1.183218227702e+00      7.069212443273e-06      1.000000000001e+00      1.000003838834e+00      2.500009597084e+00
                     3      1.750000000000e-02      1.000012706790e+00     -1.304921812601e-05      1.000017789551e+00      2.500044473963e+00      8.514212871949e-11      2.500044473877e+00      1.183218963580e+00      1.102857419267e-05      1.000000000000e+00      1.000005082697e+00      2.500012706742e+00
                     4      2.250000000000e-02      1.000017283663e+00     -1.914476845664e-05      1.000024197211e+00      2.500060493212e+00      1.832642470519e-10      2.500060493028e+00      1.183220046653e+00      1.618022658660e-05      1.000000000000e+00      1.000006913429e+00      2.500017283573e+00
                     5      2.750000000000e-02      1.000023713059e+00     -2.720746870894e-05      1.000033198441e+00      2.500082996472e+00      3.701319535269e-10      2.500082996102e+00      1.183221568101e+00      2.299439888728e-05      1.000000000000e+00      1.000009485156e+00      2.500023712891e+00
                     6      3.250000000000e-02      1.000032502040e+00     -3.790837347600e-05      1.000045503152e+00      2.500113758600e+00      7.185457432415e-10      2.500113757881e+00      1.183223647907e+00      3.203821487431e-05      1.000000000000e+00      1.000013000690e+00      2.500032501724e+00
                     7      3.750000000000e-02      1.000044293897e+00     -5.205831104484e-05      1.000062012006e+00      2.500155031370e+00      1.355093894152e-09      2.500155030015e+00      1.183226438284e+00      4.399691332147e-05      1.000000000001e+00      1.000017717324e+00      2.500044293311e+00
                     8      4.250000000000e-02      1.000059883018e+00     -7.063146493182e-05      1.000083837231e+00      2.500209595572e+00      2.494551291522e-09      2.500209593078e+00      1.183230127190e+00      5.969376819330e-05      1.000000000002e+00      1.000023952779e+00      2.500059881947e+00
                     9      4.750000000000e-02      1.000080228584e+00     -9.478601072408e-05      1.000112321824e+00      2.500280809052e+00      4.492554316851e-09      2.500280804560e+00      1.183234941561e+00      8.010751491080e-05      1.000000000004e+00      1.000032090665e+00      2.500080226662e+00
                    10      5.250000000000e-02      1.000106465226e+00     -1.258799406522e-04      1.000149054497e+00      2.500372644165e+00      7.923723240486e-09      2.500372636241e+00      1.183241149822e+00      1.063857022478e-04      1.000000000006e+00      1.000042584737e+00      2.500106461841e+00
                    11      5.750000000000e-02      1.000139908457e+00     -1.654797724675e-04      1.000195877330e+00      2.500489707019e+00      1.369369314341e-08      2.500489693325e+00      1.183249063157e+00      1.398520206946e-04      1.000000000010e+00      1.000055961044e+00      2.500139902611e+00
                    12      6.250000000000e-02      1.000182052433e+00     -2.153594698286e-04      1.000254882703e+00      2.500637229951e+00      2.319407239115e-08      2.500637206757e+00      1.183259034962e+00      1.820053457995e-04      1.000000000017e+00      1.000072817013e+00      2.500182042533e+00
