# PPM1D Profile
# model_number = 22
# num_zones = 200
# time = 2.080177588711852e-01
# step = 55
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000000026081e+00     -6.470631260005e-09      1.000000036514e+00      2.500000091285e+00      2.093453499748e-17      2.500000091285e+00      1.183215962792e+00      5.468681511646e-09      1.000000000000e+00      1.000000010433e+00      2.500000026081e+00
                     1      7.500000000000e-03      1.000000032189e+00     -2.347340471189e-08      1.000000045065e+00      2.500000112663e+00      2.755003732522e-16      2.500000112663e+00      1.183215964237e+00      1.983864773750e-08      1.000000000000e+00      1.000000012876e+00      2.500000032189e+00
                     2      1.250000000000e-02      1.000000046130e+00     -4.590944769157e-08      1.000000064582e+00      2.500000161456e+00      1.053838742287e-15      2.500000161456e+00      1.183215967536e+00      3.880056469079e-08      1.000000000000e+00      1.000000018452e+00      2.500000046130e+00
                     3      1.750000000000e-02      1.000000070776e+00     -7.864489522029e-08      1.000000099086e+00      2.500000247715e+00      3.092509990980e-15      2.500000247715e+00      1.183215973369e+00      6.646706686725e-08      1.000000000000e+00      1.000000028310e+00      2.500000070776e+00
                     4      2.250000000000e-02      1.000000111024e+00     -1.283966082809e-07      1.000000155433e+00      2.500000388583e+00      8.242845424170e-15      2.500000388583e+00      1.183215982893e+00      1.085149373718e-07      1.000000000000e+00      1.000000044409e+00      2.500000111024e+00
                     5      2.750000000000e-02      1.000000174545e+00     -2.048117629292e-07      1.000000244362e+00      2.500000610906e+00      2.097393277798e-14      2.500000610906e+00      1.183215997925e+00      1.730975268155e-07      1.000000000000e+00      1.000000069818e+00      2.500000174545e+00
                     6      3.250000000000e-02      1.000000272888e+00     -3.219070370859e-07      1.000000382043e+00      2.500000955108e+00      5.181208440161e-14      2.500000955107e+00      1.183216021197e+00      2.720610871718e-07      1.000000000000e+00      1.000000109155e+00      2.500000272888e+00
                     7      3.750000000000e-02      1.000000423052e+00     -5.000086603898e-07      1.000000592273e+00      2.500001480684e+00      1.250043831158e-13      2.500001480684e+00      1.183216056732e+00      4.225844109744e-07      1.000000000000e+00      1.000000169221e+00      2.500000423052e+00
                     8      4.250000000000e-02      1.000000649646e+00     -7.683608172508e-07      1.000000909504e+00      2.500002273761e+00      2.951893645116e-13      2.500002273761e+00      1.183216110354e+00      6.493833294924e-07      1.000000000000e+00      1.000000259858e+00      2.500000649646e+00
                     9      4.750000000000e-02      1.000000987792e+00     -1.168598362197e-06      1.000001382909e+00      2.500003457273e+00      6.828117405401e-13      2.500003457273e+00      1.183216190374e+00      9.876456827620e-07      1.000000000000e+00      1.000000395117e+00      2.500000987792e+00
