# PPM1D Profile
# model_number = 76
# num_zones = 200
# time = 7.072049139989302e-01
# step = 187
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961300374e-01     -2.586309074659e-10      1.000000000858e+00      2.500000002146e+00      3.344484371752e-20      2.500000002146e+00      1.183218246635e+00      2.185825888008e-10      1.000005418831e+00      1.000003870836e+00      2.500009677090e+00
                     1      7.500000000000e-03      9.999963577614e-01     -3.512346792291e-10      1.000000000842e+00      2.500000002105e+00      6.168267528276e-20      2.500000002105e+00      1.183218111901e+00      2.968469428386e-10      1.000005099998e+00      1.000003643094e+00      2.500009107735e+00
                     2      1.250000000000e-02      9.999967879820e-01     -4.457615728808e-10      1.000000000810e+00      2.500000002025e+00      9.935137080915e-20      2.500000002025e+00      1.183217857359e+00      3.767366847181e-10      1.000004497653e+00      1.000003212838e+00      2.500008032096e+00
                     3      1.750000000000e-02      9.999973799711e-01     -5.426996536422e-10      1.000000000762e+00      2.500000001905e+00      1.472610712024e-19      2.500000001905e+00      1.183217507104e+00      4.586643202825e-10      1.000003668814e+00      1.000002620798e+00      2.500006551995e+00
                     4      2.250000000000e-02      9.999980796807e-01     -6.424531441834e-10      1.000000000701e+00      2.500000001752e+00      2.063726249335e-19      2.500000001752e+00      1.183217093112e+00      5.429714867399e-10      1.000002689154e+00      1.000001921024e+00      2.500004802560e+00
                     5      2.750000000000e-02      9.999988261339e-01     -7.431575798004e-10      1.000000000629e+00      2.500000001572e+00      2.761412700541e-19      2.500000001572e+00      1.183216651461e+00      6.280824216619e-10      1.000001644044e+00      1.000001174496e+00      2.500002936240e+00
                     6      3.250000000000e-02      9.999995617769e-01     -8.411472882107e-10      1.000000000553e+00      2.500000001381e+00      3.537642252044e-19      2.500000001381e+00      1.183216216203e+00      7.108990535220e-10      1.000000614065e+00      1.000000438776e+00      2.500001096940e+00
                     7      3.750000000000e-02      1.000000232154e+00     -9.274457842115e-10      1.000000000483e+00      2.500000001207e+00      4.300779411703e-19      2.500000001207e+00      1.183215819561e+00      7.838348413526e-10      9.999996754665e-01      9.999997683283e-01      2.499999420821e+00
                     8      4.250000000000e-02      1.000000799562e+00     -9.863316286818e-10      1.000000000440e+00      2.500000001101e+00      4.864254297959e-19      2.500000001101e+00      1.183215483854e+00      8.336027056284e-10      9.999988810551e-01      9.999992008794e-01      2.499998002198e+00
                     9      4.750000000000e-02      1.000001237396e+00     -9.883475692718e-10      1.000000000460e+00      2.500000001150e+00      4.884160632063e-19      2.500000001150e+00      1.183215224839e+00      8.353066699309e-10      9.999982681075e-01      9.999987630650e-01      2.499996907663e+00
