# PPM1D Profile
# model_number = 79
# num_zones = 200
# time = 7.374494498041417e-01
# step = 195
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961303648e-01     -2.266814731276e-10      1.000000001317e+00      2.500000003292e+00      2.569214571004e-20      2.500000003292e+00      1.183218246713e+00      1.915804406815e-10      1.000005418831e+00      1.000003870967e+00      2.500009677418e+00
                     1      7.500000000000e-03      9.999963580961e-01     -2.538637897210e-10      1.000000001311e+00      2.500000003277e+00      3.222329451117e-20      2.500000003277e+00      1.183218111981e+00      2.145536711706e-10      1.000005099998e+00      1.000003643228e+00      2.500009108069e+00
                     2      1.250000000000e-02      9.999967883310e-01     -2.824159208942e-10      1.000000001299e+00      2.500000003247e+00      3.987924810791e-20      2.500000003247e+00      1.183217857442e+00      2.386846337029e-10      1.000004497653e+00      1.000003212978e+00      2.500008032445e+00
                     3      1.750000000000e-02      9.999973803409e-01     -3.130059421133e-10      1.000000001280e+00      2.500000003200e+00      4.898623157155e-20      2.500000003200e+00      1.183217507191e+00      2.645379570627e-10      1.000003668814e+00      1.000002620946e+00      2.500006552365e+00
                     4      2.250000000000e-02      9.999980800762e-01     -3.467180531201e-10      1.000000001255e+00      2.500000003137e+00      6.010658877941e-20      2.500000003137e+00      1.183217093206e+00      2.930299563038e-10      1.000002689154e+00      1.000001921182e+00      2.500004802955e+00
                     5      2.750000000000e-02      9.999988265575e-01     -3.842179063455e-10      1.000000001222e+00      2.500000003055e+00      7.381161316446e-20      2.500000003055e+00      1.183216651561e+00      3.247232075702e-10      1.000001644044e+00      1.000001174666e+00      2.500002936664e+00
                     6      3.250000000000e-02      9.999995622261e-01     -4.266451846844e-10      1.000000001181e+00      2.500000002954e+00      9.101301696406e-20      2.500000002954e+00      1.183216216309e+00      3.605809139560e-10      1.000000614065e+00      1.000000438955e+00      2.500001097389e+00
                     7      3.750000000000e-02      1.000000232618e+00     -4.746423309180e-10      1.000000001132e+00      2.500000002830e+00      1.126426973524e-19      2.500000002830e+00      1.183215819671e+00      4.011460318795e-10      9.999996754665e-01      9.999997685138e-01      2.499999421284e+00
                     8      4.250000000000e-02      1.000000800014e+00     -5.292822985320e-10      1.000000001074e+00      2.500000002685e+00      1.400699878275e-19      2.500000002685e+00      1.183215483961e+00      4.473253652498e-10      9.999988810551e-01      9.999992010603e-01      2.499998002651e+00
                     9      4.750000000000e-02      1.000001237786e+00     -5.909270027320e-10      1.000000001006e+00      2.500000002514e+00      1.745975773931e-19      2.500000002514e+00      1.183215224931e+00      4.994247794321e-10      9.999982681075e-01      9.999987632209e-01      2.499996908052e+00
