# PPM1D Profile
# model_number = 38
# num_zones = 200
# time = 3.554620412616791e-01
# step = 94
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.002894306074e+00     -2.769851871111e-04      1.004054769955e+00      2.510136963358e+00      3.847142366934e-08      2.510136924887e+00      1.183900317075e+00      2.339598892881e-04      1.000000395642e+00      1.001157114837e+00      2.502892787092e+00
                     1      7.500000000000e-03      1.002939748449e+00     -8.245335171037e-04      1.004118347780e+00      2.510296210377e+00      3.409270625200e-07      2.510295869450e+00      1.183910977473e+00      6.964489161705e-04      1.000000280424e+00      1.001175144701e+00      2.502937861753e+00
                     2      1.250000000000e-02      1.003028437321e+00     -1.367712822361e-03      1.004242561261e+00      2.510607341303e+00      9.381517377439e-07      2.510606403151e+00      1.183931856739e+00      1.155229344135e-03      1.000000181793e+00      1.001210458143e+00      2.503026145358e+00
                     3      1.750000000000e-02      1.003156672671e+00     -1.903237522331e-03      1.004422230244e+00      2.511057392484e+00      1.816873761535e-06      2.511055575610e+00      1.183962079321e+00      1.607515608458e-03      1.000000099740e+00      1.001261575193e+00      2.503153937982e+00
                     4      2.250000000000e-02      1.003319100558e+00     -2.427204042671e-03      1.004649857122e+00      2.511627598242e+00      2.955436673240e-06      2.511624642805e+00      1.184000378364e+00      2.050002759311e-03      1.000000033630e+00      1.001326354261e+00      2.503315885653e+00
                     5      2.750000000000e-02      1.003508884461e+00     -2.934984233923e-03      1.004915865600e+00      2.512293986180e+00      4.322179224444e-06      2.512289664001e+00      1.184045136832e+00      2.478777322440e-03      9.999999824212e-01      1.001402061467e+00      2.503505153668e+00
                     6      3.250000000000e-02      1.003717983762e+00     -3.421219540341e-03      1.005208989463e+00      2.513028347789e+00      5.874130594076e-06      2.513022473658e+00      1.184094453910e+00      2.889313034988e-03      9.999999448052e-01      1.001485482701e+00      2.503713706752e+00
                     7      3.750000000000e-02      1.003937471829e+00     -3.879896240444e-03      1.005516716995e+00      2.513799348921e+00      7.556433971099e-06      2.513791792487e+00      1.184146220637e+00      3.276534749531e-03      9.999999192618e-01      1.001573051321e+00      2.503932628302e+00
                     8      4.250000000000e-02      1.004157931967e+00     -4.304575001831e-03      1.005825845050e+00      2.514573915830e+00      9.303204894696e-06      2.514564612625e+00      1.184198213739e+00      3.635012240258e-03      9.999999041219e-01      1.001661006730e+00      2.504152516825e+00
                     9      4.750000000000e-02      1.004369870083e+00     -4.688678508601e-03      1.006123057262e+00      2.515318683041e+00      1.103988604843e-05      2.515307643155e+00      1.184248193174e+00      3.959202585764e-03      9.999998976233e-01      1.001745559312e+00      2.504363898279e+00
