# PPM1D Profile
# model_number = 69
# num_zones = 200
# time = 6.429352105252886e-01
# step = 170
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961397635e-01      5.335909586200e-09      1.000000014475e+00      2.500000036188e+00      1.423591060185e-17      2.500000036188e+00      1.183218248937e+00      4.509657952786e-09      1.000005418831e+00      1.000003874727e+00      2.500009686816e+00
                     1      7.500000000000e-03      9.999963717203e-01      1.408615359721e-08      1.000000020385e+00      2.500000050961e+00      9.920950162103e-17      2.500000050961e+00      1.183218115205e+00      1.190495092680e-08      1.000005099998e+00      1.000003648677e+00      2.500009121694e+00
                     2      1.250000000000e-02      9.999968106414e-01      2.638111103847e-08      1.000000032533e+00      2.500000081334e+00      3.479803999743e-16      2.500000081334e+00      1.183217862721e+00      2.229607232078e-08      1.000004497653e+00      1.000003221902e+00      2.500008054756e+00
                     3      1.750000000000e-02      9.999974176469e-01      4.511851105447e-08      1.000000053508e+00      2.500000133771e+00      1.017837391464e-15      2.500000133771e+00      1.183217516020e+00      3.813205132920e-08      1.000003668814e+00      1.000002635868e+00      2.500006589671e+00
                     4      2.250000000000e-02      9.999981417823e-01      7.439781479823e-08      1.000000087643e+00      2.500000219108e+00      2.767512280726e-15      2.500000219108e+00      1.183217107808e+00      6.287756854364e-08      1.000002689154e+00      1.000001945865e+00      2.500004864662e+00
                     5      2.750000000000e-02      9.999989269151e-01      1.202083820624e-07      1.000000141722e+00      2.500000354306e+00      7.225019805958e-15      2.500000354306e+00      1.183216675310e+00      1.015945638451e-07      1.000001644043e+00      1.000001214809e+00      2.500003037022e+00
                     6      3.250000000000e-02      9.999997228145e-01      1.913766759114e-07      1.000000226005e+00      2.500000565012e+00      1.831251096548e-14      2.500000565012e+00      1.183216254311e+00      1.617427712086e-07      1.000000614065e+00      1.000000503191e+00      2.500001257977e+00
                     7      3.750000000000e-02      1.000000485893e+00      3.008549580590e-07      1.000000355716e+00      2.500000889291e+00      4.525687488432e-14      2.500000889291e+00      1.183215879606e+00      2.542688644097e-07      9.999996754661e-01      9.999998698233e-01      2.499999674558e+00
                     8      4.250000000000e-02      1.000001194320e+00      4.674968337633e-07      1.000000553102e+00      2.500001382754e+00      1.092767753007e-13      2.500001382754e+00      1.183215577270e+00      3.951070648021e-07      9.999988810545e-01      9.999993587820e-01      2.499998396955e+00
                     9      4.750000000000e-02      1.000001844394e+00      7.184498528806e-07      1.000000850254e+00      2.500002125636e+00      2.580855715626e-13      2.500002125636e+00      1.183215368480e+00      6.072012517919e-07      9.999982681068e-01      9.999990058626e-01      2.499997514657e+00
