# PPM1D Profile
# model_number = 61
# num_zones = 200
# time = 5.673235849596132e-01
# step = 150
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000025953410e+00      6.385118234275e-06      1.000041753912e+00      2.500104384800e+00      2.038539648965e-11      2.500104384780e+00      1.183225304044e+00      5.396367211261e-06      1.000005418753e+00      1.000015800092e+00      2.500039500231e+00
                     1      7.500000000000e-03      1.000029409199e+00      1.882233166034e-05      1.000046273280e+00      2.500115683378e+00      1.771452941139e-10      2.500115683201e+00      1.183225933209e+00      1.590763955729e-05      1.000005099949e+00      1.000016863585e+00      2.500042158963e+00
                     2      1.250000000000e-02      1.000036431600e+00      3.281898841433e-05      1.000055502438e+00      2.500138756633e+00      5.385626202532e-10      2.500138756095e+00      1.183227238615e+00      2.773684322273e-05      1.000004497597e+00      1.000019070143e+00      2.500047675358e+00
                     3      1.750000000000e-02      1.000047375444e+00      4.947345090787e-05      1.000069995217e+00      2.500174989267e+00      1.223869150965e-09      2.500174988043e+00      1.183229337948e+00      4.181222466446e-05      1.000003668723e+00      1.000022618701e+00      2.500056546753e+00
                     4      2.250000000000e-02      1.000062782005e+00      6.997245626858e-05      1.000090585153e+00      2.500226465331e+00      2.448226013018e-09      2.500226462883e+00      1.183232404037e+00      5.913669709334e-05      1.000002689006e+00      1.000027801403e+00      2.500069503507e+00
                     5      2.750000000000e-02      1.000083384495e+00      9.561949512189e-05      1.000118384255e+00      2.500295965209e+00      4.571925119563e-09      2.500295960637e+00      1.183236660850e+00      8.081180907057e-05      1.000001643824e+00      1.000034996842e+00      2.500087492105e+00
                     6      3.250000000000e-02      1.000110114560e+00      1.278555260963e-04      1.000154777641e+00      2.500386952277e+00      8.174417799991e-09      2.500386944102e+00      1.183242376450e+00      1.080552291237e-04      1.000000613767e+00      1.000044658163e+00      2.500111645407e+00
                     7      3.750000000000e-02      1.000144092706e+00      1.682690452466e-04      1.000201410635e+00      2.500503540747e+00      1.415927574852e-08      2.500503526588e+00      1.183249860993e+00      1.422092246057e-04      9.999996750986e-01      1.000057309671e+00      2.500143274178e+00
                     8      4.250000000000e-02      1.000186623757e+00      2.185917256901e-04      1.000260163360e+00      2.500650432296e+00      2.389562993023e-08      2.500650408401e+00      1.183259454319e+00      1.847369356673e-04      9.999988806415e-01      1.000073525882e+00      2.500183814704e+00
                     9      4.750000000000e-02      1.000239163548e+00      2.806792876088e-04      1.000333112096e+00      2.500832819641e+00      3.939985200159e-08      2.500832780241e+00      1.183271522736e+00      2.372061544756e-04      9.999982676938e-01      1.000093926084e+00      2.500234815211e+00
                    10      5.250000000000e-02      1.000303294830e+00      3.564855485039e-04      1.000422486074e+00      2.501056278745e+00      6.356024479472e-08      2.501056215185e+00      1.183286447631e+00      3.012673298318e-04      9.999978484701e-01      1.000119155104e+00      2.500297887761e+00
                    11      5.750000000000e-02      1.000380671588e+00      4.480151791740e-04      1.000530602148e+00      2.501326605766e+00      1.003970041290e-07      2.501326505369e+00      1.183304619661e+00      3.786135638535e-04      9.999976226202e-01      1.000149873507e+00      2.500374683769e+00
                    12      6.250000000000e-02      1.000472931821e+00      5.572169938518e-04      1.000659731418e+00      2.501649483863e+00      1.553188096031e-07      2.501649328544e+00      1.183326411356e+00      4.708903549386e-04      9.999975658605e-01      1.000186711295e+00      2.500466778238e+00
                    13      6.750000000000e-02      1.000581623291e+00      6.859193848959e-04      1.000812017708e+00      2.502030279650e+00      2.353795239220e-07      2.502030044271e+00      1.183352172724e+00      5.796409561805e-04      9.999976523044e-01      1.000230260493e+00      2.500575651232e+00
                    14      7.250000000000e-02      1.000708220341e+00      8.358348325340e-04      1.000989479188e+00      2.502474047528e+00      3.495573220390e-07      2.502473697970e+00      1.183382222155e+00      7.063101142519e-04      9.999978324385e-01      1.000281059795e+00      2.500702649487e+00
                    15      7.750000000000e-02      1.000853835649e+00      1.008258671227e-03      1.001193649087e+00      2.502984631444e+00      5.087267725427e-07      2.502984122718e+00      1.183416804409e+00      8.519894828860e-04      9.999980773825e-01      1.000339523541e+00      2.500848808853e+00
