# PPM1D Profile
# model_number = 63
# num_zones = 200
# time = 5.862265217902188e-01
# step = 155
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000002008784e+00      1.498059177335e-06      1.000008231142e+00      2.500020577857e+00      1.122092903437e-12      2.500020577856e+00      1.183219637804e+00      1.266087148550e-06      1.000005418828e+00      1.000006222346e+00      2.500015555864e+00
                     1      7.500000000000e-03      1.000003093918e+00      4.318393380542e-06      1.000009431505e+00      2.500023578772e+00      9.324289543056e-12      2.500023578762e+00      1.183219705969e+00      3.649696974075e-06      1.000005099995e+00      1.000006337567e+00      2.500015843918e+00
                     2      1.250000000000e-02      1.000005282543e+00      7.633995493993e-06      1.000011893245e+00      2.500029733142e+00      2.913909752888e-11      2.500029733113e+00      1.183219867537e+00      6.451882446738e-06      1.000004497644e+00      1.000006610667e+00      2.500016526668e+00
                     3      1.750000000000e-02      1.000008696201e+00      1.180784469172e-05      1.000015843543e+00      2.500039608928e+00      6.971320436671e-11      2.500039608858e+00      1.183220185000e+00      9.979414517613e-06      1.000003668796e+00      1.000007147280e+00      2.500017868200e+00
                     4      2.250000000000e-02      1.000013532315e+00      1.726054226354e-05      1.000021634464e+00      2.500054086309e+00      1.489651754321e-10      2.500054086160e+00      1.183220749842e+00      1.458776163776e-05      1.000002689121e+00      1.000008102040e+00      2.500020255100e+00
                     5      2.750000000000e-02      1.000020080023e+00      2.449378180749e-05      1.000029756184e+00      2.500074390759e+00      2.999786970746e-10      2.500074390459e+00      1.183221680985e+00      2.070092375851e-05      1.000001643993e+00      1.000009675966e+00      2.500024189916e+00
                     6      3.250000000000e-02      1.000028742204e+00      3.411364467266e-05      1.000040853334e+00      2.500102133918e+00      5.818871006632e-10      2.500102133336e+00      1.183223121434e+00      2.883111735623e-05      1.000000613993e+00      1.000012110783e+00      2.500030276956e+00
                     7      3.750000000000e-02      1.000040048057e+00      4.685314204982e-05      1.000055743085e+00      2.500139358811e+00      1.097652417057e-09      2.500139357714e+00      1.183225241515e+00      3.959782162001e-05      9.999996753742e-01      1.000015694399e+00      2.500039235999e+00
                     8      4.250000000000e-02      1.000054679697e+00      6.359291156147e-05      1.000075433274e+00      2.500188585208e+00      2.022139764377e-09      2.500188583186e+00      1.183228233867e+00      5.374526210691e-05      9.999988809466e-01      1.000020752442e+00      2.500051881106e+00
                     9      4.750000000000e-02      1.000073477867e+00      8.537866813864e-05      1.000101138341e+00      2.500252849496e+00      3.645026295643e-09      2.500252845851e+00      1.183232319461e+00      7.215714677022e-05      9.999982679933e-01      1.000027658441e+00      2.500069146103e+00
                    10      5.250000000000e-02      1.000097456769e+00      1.134335054275e-04      1.000134290562e+00      2.500335732838e+00      6.434207072720e-09      2.500335726404e+00      1.183237745461e+00      9.586704435576e-05      9.999978487186e-01      1.000036830203e+00      2.500092075507e+00
                    11      5.750000000000e-02      1.000127797508e+00      1.491627453243e-04      1.000176543417e+00      2.500441369670e+00      1.112618401325e-08      2.500441358544e+00      1.183244791052e+00      1.260624567734e-04      9.999976227582e-01      1.000048739680e+00      2.500121849201e+00
                    12      6.250000000000e-02      1.000165850044e+00      1.941480048552e-04      1.000229763033e+00      2.500574426431e+00      1.884984962462e-08      2.500574407581e+00      1.183253761180e+00      1.640797698894e-04      9.999975658341e-01      1.000063902390e+00      2.500159755975e+00
                    13      6.750000000000e-02      1.000213100063e+00      2.501277692089e-04      1.000296004157e+00      2.500740041682e+00      3.128861665033e-08      2.500740010393e+00      1.183264991878e+00      2.113877879645e-04      9.999976520544e-01      1.000082886431e+00      2.500207216077e+00
                    14      7.250000000000e-02      1.000271158575e+00      3.189670374923e-04      1.000377473718e+00      2.500943735180e+00      5.088377933608e-08      2.500943684296e+00      1.183278834786e+00      2.695620238572e-04      9.999978319502e-01      1.000106286323e+00      2.500265715808e+00
                    15      7.750000000000e-02      1.000341696560e+00      4.026176453009e-04      1.000476483580e+00      2.501191290028e+00      8.107817882546e-08      2.501191208950e+00      1.183295667773e+00      3.402510938441e-04      9.999980766261e-01      1.000134740979e+00      2.500336852448e+00
                    16      8.250000000000e-02      1.000426399664e+00      5.030449300493e-04      1.000595363764e+00      2.501488535992e+00      1.265810519374e-07      2.501488409411e+00      1.183315870306e+00      4.251146652153e-04      9.999983543133e-01      1.000168892085e+00      2.500422230213e+00
                    17      8.750000000000e-02      1.000526873014e+00      6.221213967462e-04      1.000736336660e+00      2.501841035270e+00      1.936194753016e-07      2.501840841651e+00      1.183339805247e+00      5.257335162628e-04      9.999986377277e-01      1.000209353344e+00      2.500523383360e+00
                    18      9.250000000000e-02      1.000644605024e+00      7.615859311991e-04      1.000901468953e+00      2.502253962577e+00      2.901935049892e-07      2.502253672384e+00      1.183367811732e+00      6.435749930397e-04      9.999989065771e-01      1.000256698460e+00      2.500641746150e+00
