# PPM1D Profile
# model_number = 30
# num_zones = 200
# time = 2.798496337298611e-01
# step = 74
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000033775409e+00     -6.443204995137e-06      1.000047285971e+00      2.500118214947e+00      2.075814639589e-11      2.500118214926e+00      1.183223949279e+00      5.445465331449e-06      1.000000000078e+00      1.000013510105e+00      2.500033775262e+00
                     1      7.500000000000e-03      1.000037261779e+00     -2.038078165990e-05      1.000052166918e+00      2.500130417503e+00      2.076958693636e-10      2.500130417295e+00      1.183224774258e+00      1.722477597098e-05      1.000000000038e+00      1.000014904584e+00      2.500037261459e+00
                     2      1.250000000000e-02      1.000044485561e+00     -3.603121903245e-05      1.000062280357e+00      2.500155701541e+00      6.491532491442e-10      2.500155700892e+00      1.183226483648e+00      3.045166714099e-05      1.000000000017e+00      1.000017794004e+00      2.500044485009e+00
                     3      1.750000000000e-02      1.000055884542e+00     -5.460634346942e-05      1.000078239238e+00      2.500195599587e+00      1.491009693288e-09      2.500195598096e+00      1.183229181024e+00      4.615026771245e-05      1.000000000005e+00      1.000022353447e+00      2.500055883617e+00
                     4      2.250000000000e-02      1.000072116766e+00     -7.741817171344e-05      1.000100964928e+00      2.500252415317e+00      2.997002774289e-09      2.500252412320e+00      1.183233022069e+00      6.542935353350e-05      9.999999999987e-01      1.000028846081e+00      2.500072115203e+00
                     5      2.750000000000e-02      1.000094061421e+00     -1.059114872250e-04      1.000131688463e+00      2.500329226768e+00      5.609149118019e-09      2.500329221159e+00      1.183238214775e+00      8.950986023140e-05      9.999999999965e-01      1.000037623503e+00      2.500094058758e+00
                     6      3.250000000000e-02      1.000122817171e+00     -1.416888734312e-04      1.000171948261e+00      2.500429880691e+00      1.003910124971e-08      2.500429870652e+00      1.183245019038e+00      1.197460129994e-04      9.999999999973e-01      1.000049125056e+00      2.500122812640e+00
                     7      3.750000000000e-02      1.000159695703e+00     -1.865256327846e-04      1.000223581126e+00      2.500558970213e+00      1.739868389426e-08      2.500558952814e+00      1.183253745108e+00      1.576378976664e-04      1.000000000001e+00      1.000063875222e+00      2.500159688055e+00
                     8      4.250000000000e-02      1.000206207885e+00     -2.423718324971e-04      1.000288702953e+00      2.500721786760e+00      2.937810934286e-08      2.500721757382e+00      1.183264750292e+00      2.048331385155e-04      1.000000000008e+00      1.000082478060e+00      2.500206195150e+00
                     9      4.750000000000e-02      1.000264039770e+00     -3.113386224122e-04      1.000369675218e+00      2.500924236523e+00      4.847866581967e-08      2.500924188045e+00      1.183278433247e+00      2.631152682787e-04      1.000000000019e+00      1.000105607563e+00      2.500264018907e+00
