# PPM1D Profile
# model_number = 52
# num_zones = 200
# time = 4.841501671106796e-01
# step = 128
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.003380169884e+00      2.803957988091e-04      1.004740305985e+00      2.511850804407e+00      3.944377952195e-08      2.511850764963e+00      1.184017641649e+00      2.368172474344e-04      1.000004848195e+00      1.001355554098e+00      2.503388885244e+00
                     1      7.500000000000e-03      1.003415599772e+00      8.447604321105e-04      1.004789792425e+00      2.511974839092e+00      3.580288143049e-07      2.511974481064e+00      1.184025895373e+00      7.134644904404e-04      1.000004666075e+00      1.001369514938e+00      2.503423787346e+00
                     2      1.250000000000e-02      1.003484617483e+00      1.402153192218e-03      1.004886071485e+00      2.512216165156e+00      9.864422247072e-07      2.512215178713e+00      1.184041900610e+00      1.184209098931e-03      1.000004189008e+00      1.001396587429e+00      2.503491468573e+00
                     3      1.750000000000e-02      1.003584987715e+00      1.948282549690e-03      1.005026067160e+00      2.512567072608e+00      1.904706403670e-06      2.512565167901e+00      1.184065160499e+00      1.645418355920e-03      1.000003470905e+00      1.001435931648e+00      2.503589829120e+00
                     4      2.250000000000e-02      1.003712581441e+00      2.478497813600e-03      1.005204070202e+00      2.513013258383e+00      3.082878809713e-06      2.513010175504e+00      1.184094743150e+00      2.093158362486e-03      1.000002586280e+00      1.001485971968e+00      2.503714929921e+00
                     5      2.750000000000e-02      1.003862550429e+00      2.987471658964e-03      1.005413372011e+00      2.513537909757e+00      4.479730062572e-06      2.513533430027e+00      1.184129552163e+00      2.522926358445e-03      1.000001618471e+00      1.001544854503e+00      2.503862136258e+00
                     6      3.250000000000e-02      1.004028212586e+00      3.470522557053e-03      1.005644692045e+00      2.514117776634e+00      6.046522366770e-06      2.514111730112e+00      1.184168058885e+00      2.930768594045e-03      1.000000650985e+00      1.001609994060e+00      2.504024985150e+00
                     7      3.750000000000e-02      1.004203033297e+00      3.922446629077e-03      1.005888946374e+00      2.514730091062e+00      7.725126847376e-06      2.514722365935e+00      1.184208765168e+00      3.312293190567e-03      9.999997589923e-01      1.001678856787e+00      2.504197141966e+00
                     8      4.250000000000e-02      1.004379793864e+00      4.338222301028e-03      1.006136068956e+00      2.515349623690e+00      9.451300605093e-06      2.515340172389e+00      1.184250000261e+00      3.663265611208e-03      9.999989972707e-01      1.001748616512e+00      2.504371541281e+00
                     9      4.750000000000e-02      1.004550593111e+00      4.712529671404e-03      1.006375018619e+00      2.515948701046e+00      1.115449759200e-05      2.515937546548e+00      1.184289924494e+00      3.979202705297e-03      9.999984054880e-01      1.001816160899e+00      2.504540402248e+00
                    10      5.250000000000e-02      1.004707524637e+00      5.040013568770e-03      1.006594717732e+00      2.516499554988e+00      1.276065803753e-05      2.516486794330e+00      1.184326682549e+00      4.255594037552e-03      9.999979972622e-01      1.001878350713e+00      2.504695876782e+00
                    11      5.750000000000e-02      1.004843363393e+00      5.316055505568e-03      1.006785029835e+00      2.516976773249e+00      1.419866087429e-05      2.516962574588e+00      1.184358573492e+00      4.488552389919e-03      9.999977742544e-01      1.001932307574e+00      2.504830768936e+00
                    12      6.250000000000e-02      1.004950932147e+00      5.536149424797e-03      1.006935859816e+00      2.517355049885e+00      1.540034566388e-05      2.517339649540e+00      1.184383894005e+00      4.674286312759e-03      9.999977141679e-01      1.001975148841e+00      2.504937872102e+00
                    13      6.750000000000e-02      1.005023830198e+00      5.696242837800e-03      1.007038199119e+00      2.517611802893e+00      1.630509580116e-05      2.517595497798e+00      1.184401122730e+00      4.809386557041e-03      9.999977925853e-01      1.002004299660e+00      2.505010749149e+00
                    14      7.250000000000e-02      1.005057344053e+00      5.794029323010e-03      1.007085382084e+00      2.517730325487e+00      1.687027737961e-05      2.517713455209e+00      1.184409121215e+00      4.891915486997e-03      9.999979606091e-01      1.002017833155e+00      2.505044582887e+00
                    15      7.750000000000e-02      1.005047258738e+00      5.827427250677e-03      1.007071467008e+00      2.517695732674e+00      1.706515387944e-05      2.517678667520e+00      1.184406881112e+00      4.920122758159e-03      9.999981918010e-01      1.002014042875e+00      2.505035107187e+00
                    16      8.250000000000e-02      1.004991381779e+00      5.796353913913e-03      1.006993347615e+00      2.517500251746e+00      1.688270886813e-05      2.517483369037e+00      1.184393866940e+00      4.893941175911e-03      9.999984549917e-01      1.001992022889e+00      2.504980057223e+00
                    17      8.750000000000e-02      1.004888773960e+00      5.701828221712e-03      1.006849683996e+00      2.517140544883e+00      1.633489162135e-05      2.517124209991e+00      1.184369840177e+00      4.814229498499e-03      9.999987236963e-01      1.001951370229e+00      2.504878425572e+00
                    18      9.250000000000e-02      1.004740675724e+00      5.547086778998e-03      1.006642204343e+00      2.516620968879e+00      1.545802156994e-05      2.516605510857e+00      1.184335078967e+00      4.683713990671e-03      9.999989783502e-01      1.001892556622e+00      2.504731391555e+00
                    19      9.750000000000e-02      1.004550149870e+00      5.337194592055e-03      1.006375202688e+00      2.515952314350e+00      1.430763003621e-05      2.515938006720e+00      1.184290294073e+00      4.506660756036e-03      9.999992061157e-01      1.001816786169e+00      2.504541965421e+00
