# PPM1D Profile
# model_number = 81
# num_zones = 200
# time = 7.563522499108609e-01
# step = 200
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961304325e-01     -2.188463277692e-10      1.000000001412e+00      2.500000003529e+00      2.394676492504e-20      2.500000003529e+00      1.183218246729e+00      1.849585470594e-10      1.000005418831e+00      1.000003870994e+00      2.500009677485e+00
                     1      7.500000000000e-03      9.999963581665e-01     -2.301454730385e-10      1.000000001409e+00      2.500000003523e+00      2.648337293168e-20      2.500000003523e+00      1.183218111997e+00      1.945080714240e-10      1.000005099998e+00      1.000003643256e+00      2.500009108140e+00
                     2      1.250000000000e-02      9.999967884058e-01     -2.420297249602e-10      1.000000001403e+00      2.500000003509e+00      2.928909981716e-20      2.500000003509e+00      1.183217857460e+00      2.045521232074e-10      1.000004497653e+00      1.000003213008e+00      2.500008032520e+00
                     3      1.750000000000e-02      9.999973804232e-01     -2.550993402587e-10      1.000000001395e+00      2.500000003488e+00      3.253775146484e-20      2.500000003488e+00      1.183217507211e+00      2.155980102593e-10      1.000003668814e+00      1.000002620979e+00      2.500006552447e+00
                     4      2.250000000000e-02      9.999980801681e-01     -2.696815042351e-10      1.000000001383e+00      2.500000003458e+00      3.636398705038e-20      2.500000003458e+00      1.183217093228e+00      2.279222517817e-10      1.000002689154e+00      1.000001921219e+00      2.500004803047e+00
                     5      2.750000000000e-02      9.999988266621e-01     -2.864168574738e-10      1.000000001368e+00      2.500000003421e+00      4.101725999542e-20      2.500000003421e+00      1.183216651586e+00      2.420662835414e-10      1.000001644044e+00      1.000001174707e+00      2.500002936769e+00
                     6      3.250000000000e-02      9.999995623457e-01     -3.056842016740e-10      1.000000001349e+00      2.500000003372e+00      4.672139512872e-20      2.500000003372e+00      1.183216216338e+00      2.583502469398e-10      1.000000614065e+00      1.000000439003e+00      2.500001097508e+00
                     7      3.750000000000e-02      1.000000232756e+00     -3.282517265143e-10      1.000000001325e+00      2.500000003313e+00      5.387461051946e-20      2.500000003313e+00      1.183215819703e+00      2.774233753877e-10      9.999996754665e-01      9.999997685690e-01      2.499999421422e+00
                     8      4.250000000000e-02      1.000000800173e+00     -3.545760520549e-10      1.000000001296e+00      2.500000003240e+00      6.286213864597e-20      2.500000003240e+00      1.183215483998e+00      2.996715787193e-10      9.999988810551e-01      9.999992011238e-01      2.499998002810e+00
                     9      4.750000000000e-02      1.000001237969e+00     -3.855200689382e-10      1.000000001262e+00      2.500000003154e+00      7.431295377409e-20      2.500000003154e+00      1.183215224975e+00      3.258241280208e-10      9.999982681075e-01      9.999987632941e-01      2.499996908235e+00
                    10      5.250000000000e-02      1.000001537430e+00     -4.216112067418e-10      1.000000001220e+00      2.500000003050e+00      8.887814146883e-20      2.500000003050e+00      1.183215047787e+00      3.563267789151e-10      9.999978488223e-01      9.999984637926e-01      2.499996159482e+00
                    11      5.750000000000e-02      1.000001698821e+00     -4.638032775155e-10      1.000000001172e+00      2.500000002929e+00      1.075569228367e-19      2.500000002929e+00      1.183214952278e+00      3.919856460759e-10      9.999976228274e-01      9.999983023537e-01      2.499995755884e+00
                    12      6.250000000000e-02      1.000001739484e+00     -5.126210841219e-10      1.000000001114e+00      2.500000002786e+00      1.313904164942e-19      2.500000002786e+00      1.183214928188e+00      4.332442668779e-10      9.999975658426e-01      9.999982616339e-01      2.499995654085e+00
                    13      6.750000000000e-02      1.000001677917e+00     -5.689084682812e-10      1.000000001049e+00      2.500000002622e+00      1.618286941757e-19      2.500000002622e+00      1.183214964572e+00      4.808158156509e-10      9.999976519693e-01      9.999983231343e-01      2.499995807836e+00
                    14      7.250000000000e-02      1.000001549446e+00     -6.328142530656e-10      1.000000000974e+00      2.500000002434e+00      2.002272496823e-19      2.500000002434e+00      1.183215040533e+00      5.348260725124e-10      9.999978317538e-01      9.999984515304e-01      2.499996128826e+00
                    15      7.750000000000e-02      1.000001374716e+00     -7.044304885266e-10      1.000000000889e+00      2.500000002224e+00      2.481114976653e-19      2.500000002224e+00      1.183215143854e+00      5.953528334941e-10      9.999980762903e-01      9.999986261754e-01      2.499996565438e+00
                    16      8.250000000000e-02      1.000001176412e+00     -7.824107630378e-10      1.000000000797e+00      2.500000001993e+00      3.060836611388e-19      2.500000001993e+00      1.183215261117e+00      6.612581740189e-10      9.999983538224e-01      9.999988243864e-01      2.499997060966e+00
                    17      8.750000000000e-02      1.000000974018e+00     -8.641071218857e-10      1.000000000701e+00      2.500000001753e+00      3.733409226872e-19      2.500000001753e+00      1.183215380798e+00      7.303041660113e-10      9.999986370776e-01      9.999990266842e-01      2.499997566710e+00
                    18      9.250000000000e-02      1.000000782025e+00     -9.432161617539e-10      1.000000000608e+00      2.500000001519e+00      4.448287117637e-19      2.500000001519e+00      1.183215494328e+00      7.971634636934e-10      9.999989057739e-01      9.999992185835e-01      2.499998046459e+00
                    19      9.750000000000e-02      1.000000609983e+00     -1.008532312100e-09      1.000000000531e+00      2.500000001327e+00      5.085690224929e-19      2.500000001327e+00      1.183215596064e+00      8.523656343402e-10      9.999991465558e-01      9.999993905486e-01      2.499998476371e+00
                    20      1.025000000000e-01      1.000000463026e+00     -1.039078182448e-09      1.000000000495e+00      2.500000001237e+00      5.398419845807e-19      2.500000001237e+00      1.183215682983e+00      8.781815499848e-10      9.999993522581e-01      9.999995374685e-01      2.499998843671e+00
                    21      1.075000000000e-01      1.000000342465e+00     -9.988982258324e-10      1.000000000543e+00      2.500000001357e+00      4.988990036409e-19      2.500000001357e+00      1.183215754336e+00      8.442232299323e-10      9.999995210923e-01      9.999996580781e-01      2.499999145195e+00
                    22      1.125000000000e-01      1.000000247318e+00     -8.257582127277e-10      1.000000000747e+00      2.500000001869e+00      3.409383972639e-19      2.500000001869e+00      1.183215810747e+00      6.978931529038e-10      9.999996545022e-01      9.999997534294e-01      2.499999383574e+00
                    23      1.175000000000e-01      1.000000174877e+00     -4.159003062424e-10      1.000000001233e+00      2.500000003082e+00      8.648654749081e-20      2.500000003082e+00      1.183215853890e+00      3.514999438817e-10      9.999997564045e-01      9.999998263554e-01      2.499999565889e+00
                    24      1.225000000000e-01      1.000000121694e+00      4.031901502437e-10      1.000000002202e+00      2.500000005505e+00      8.128115851819e-20      2.500000005505e+00      1.183215885928e+00      3.407578913020e-10      9.999998318306e-01      9.999998805082e-01      2.499999701270e+00
                    25      1.275000000000e-01      1.000000084287e+00      1.912472318818e-09      1.000000003988e+00      2.500000009971e+00      1.828775339263e-18      2.500000009971e+00      1.183215909115e+00      1.616334182194e-09      9.999998859867e-01      9.999999197014e-01      2.499999799254e+00
                    26      1.325000000000e-01      1.000000059541e+00      4.566010623300e-09      1.000000007128e+00      2.500000017820e+00      1.042422712672e-17      2.500000017820e+00      1.183215925612e+00      3.858983406549e-09      9.999999237700e-01      9.999999475866e-01      2.499999868967e+00
                    27      1.375000000000e-01      1.000000045047e+00      9.086951572901e-09      1.000000012478e+00      2.500000031195e+00      4.128634630394e-17      2.500000031195e+00      1.183215937352e+00      7.679875909411e-09      9.999999494126e-01      9.999999674313e-01      2.499999918578e+00
                    28      1.425000000000e-01      1.000000039308e+00      1.661594754686e-08      1.000000021386e+00      2.500000053466e+00      1.380448618664e-16      2.500000053466e+00      1.183215946017e+00      1.404303889142e-08      9.999999663550e-01      9.999999820782e-01      2.499999955196e+00
                    29      1.475000000000e-01      1.000000041925e+00      2.892970311407e-08      1.000000035957e+00      2.500000089892e+00      4.184638786784e-16      2.500000089892e+00      1.183215953089e+00      2.445006174785e-08      9.999999772613e-01      9.999999940314e-01      2.499999985079e+00
                    30      1.525000000000e-01      1.000000053802e+00      4.876664900025e-08      1.000000059429e+00      2.500000148571e+00      1.189093091332e-15      2.500000148571e+00      1.183215959949e+00      4.121534077546e-08      9.999999841058e-01      1.000000005627e+00      2.500000014067e+00
                    31      1.575000000000e-01      1.000000077458e+00      8.029785645127e-08      1.000000096738e+00      2.500000241844e+00      3.223873125051e-15      2.500000241844e+00      1.183215968026e+00      6.786407437119e-08      9.999999882958e-01      1.000000019279e+00      2.500000048198e+00
                    32      1.625000000000e-01      1.000000117514e+00      1.298068322409e-07      1.000000155318e+00      2.500000388295e+00      8.424907838254e-15      2.500000388295e+00      1.183215978985e+00      1.097067944876e-07      9.999999907987e-01      1.000000037804e+00      2.500000094510e+00
                    33      1.675000000000e-01      1.000000181416e+00      2.066493327110e-07      1.000000246240e+00      2.500000615601e+00      2.135197722853e-14      2.500000615601e+00      1.183215994971e+00      1.746505571167e-07      9.999999922583e-01      1.000000064825e+00      2.500000162061e+00
                    34      1.725000000000e-01      1.000000280507e+00      3.245976562576e-07      1.000000385800e+00      2.500000964499e+00      5.268183400159e-14      2.500000964499e+00      1.183216018912e+00      2.743350758183e-07      9.999999930894e-01      1.000000105292e+00      2.500000263231e+00
                    35      1.775000000000e-01      1.000000431537e+00      5.036880444574e-07      1.000000597704e+00      2.500001494260e+00      1.268508778055e-13      2.500001494260e+00      1.183216054925e+00      4.256940584610e-07      9.999999935516e-01      1.000000166167e+00      2.500000415416e+00
