# PPM1D Profile
# model_number = 59
# num_zones = 200
# time = 5.484206558273482e-01
# step = 145
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.000119620356e+00      2.212080804631e-05      1.000172891008e+00      2.500432227765e+00      2.446943412340e-10      2.500432227520e+00      1.183247467774e+00      1.869499715721e-05      1.000005417596e+00      1.000053264281e+00      2.500133160702e+00
                     1      7.500000000000e-03      1.000129378848e+00      6.620641029848e-05      1.000186235288e+00      2.500465590411e+00      2.191927934730e-09      2.500465588219e+00      1.183249588514e+00      5.595303893714e-05      1.000005099290e+00      1.000056849085e+00      2.500142122712e+00
                     2      1.250000000000e-02      1.000149151008e+00      1.139113403156e-04      1.000213315761e+00      2.500533295891e+00      6.488864402587e-09      2.500533289402e+00      1.183253910730e+00      9.626956588324e-05      1.000004497182e+00      1.000064155184e+00      2.500160387960e+00
                     3      1.750000000000e-02      1.000179496316e+00      1.676759602536e-04      1.000254973166e+00      2.500637446976e+00      1.406013711338e-08      2.500637432915e+00      1.183260600471e+00      1.417067044968e-04      1.000003668381e+00      1.000075463305e+00      2.500188658263e+00
                     4      2.250000000000e-02      1.000221227391e+00      2.299447098504e-04      1.000312421510e+00      2.500781080217e+00      2.644313344563e-08      2.500781053774e+00      1.183269894626e+00      1.943298911726e-04      1.000002688626e+00      1.000091173948e+00      2.500227934871e+00
                     5      2.750000000000e-02      1.000275377221e+00      3.031563970244e-04      1.000387193318e+00      2.500968029260e+00      4.596455463510e-08      2.500967983295e+00      1.183282087855e+00      2.561995995172e-04      1.000001643343e+00      1.000111785314e+00      2.500279463284e+00
                     6      3.250000000000e-02      1.000343168156e+00      3.897333385377e-04      1.000481081848e+00      2.501202780593e+00      7.597209984552e-08      2.501202704621e+00      1.183297516660e+00      3.293620860777e-04      1.000000613164e+00      1.000137866381e+00      2.500344665953e+00
                     7      3.750000000000e-02      1.000425916650e+00      4.920064274500e-04      1.000596008305e+00      2.501490141849e+00      1.210867132169e-07      2.501490020762e+00      1.183316537084e+00      4.157859812070e-04      9.999996744002e-01      1.000170019241e+00      2.500425048102e+00
                     8      4.250000000000e-02      1.000524934871e+00      6.121173385065e-04      1.000733865052e+00      2.501834850072e+00      1.874421613530e-07      2.501834662629e+00      1.183339490083e+00      5.172795665457e-04      9.999988799082e-01      1.000208820564e+00      2.500522051409e+00
                     9      4.750000000000e-02      1.000641571876e+00      7.521052078934e-04      1.000896581334e+00      2.502241736347e+00      2.830125783636e-07      2.502241453334e+00      1.183366715916e+00      6.355639361642e-04      9.999982670271e-01      1.000254845956e+00      2.500637114890e+00
                    10      5.250000000000e-02      1.000776974163e+00      9.136424050046e-04      1.001085778481e+00      2.502714863899e+00      4.176955087671e-07      2.502714446204e+00      1.183398491803e+00      7.720496614904e-04      9.999978479885e-01      1.000308564572e+00      2.500771411430e+00
                    11      5.750000000000e-02      1.000931934118e+00      1.097888981787e-03      1.001302570261e+00      2.503257028895e+00      6.032417663198e-07      2.503256425653e+00      1.183435003488e+00      9.277137980133e-04      9.999976224641e-01      1.000370291057e+00      2.500925727642e+00
                    12      6.250000000000e-02      1.001107099498e+00      1.305749710739e-03      1.001547844772e+00      2.503870465365e+00      8.534349460751e-07      2.503869611930e+00      1.183476388024e+00      1.103317078356e-03      9.999975661369e-01      1.000440257865e+00      2.501100644662e+00
                    13      6.750000000000e-02      1.001302543154e+00      1.537399805700e-03      1.001821684181e+00      2.504555393792e+00      1.183338425586e-06      2.504554210453e+00      1.183522645320e+00      1.299003286316e-03      9.999976531164e-01      1.000518465703e+00      2.501296164257e+00
                    14      7.250000000000e-02      1.001517675845e+00      1.792175658066e-03      1.002123220084e+00      2.505309658594e+00      1.608384101340e-06      2.505308050210e+00      1.183573604495e+00      1.514207186828e-03      9.999978337660e-01      1.000604626612e+00      2.501511566530e+00
                    15      7.750000000000e-02      1.001751559441e+00      2.068992719505e-03      1.002451116473e+00      2.506129935297e+00      2.144114413970e-06      2.506127791182e+00      1.183629024400e+00      1.748007759909e-03      9.999980792387e-01      1.000698333858e+00      2.501745834646e+00
                    16      8.250000000000e-02      1.002002469424e+00      2.365816126307e-03      1.002802932561e+00      2.507010135550e+00      2.804146968480e-06      2.507007331403e+00      1.183688476252e+00      1.998681387689e-03      9.999983576553e-01      1.000798863437e+00      2.501997158593e+00
                    17      8.750000000000e-02      1.002268022844e+00      2.679824777403e-03      1.003175308969e+00      2.507941871298e+00      3.598874277407e-06      2.507938272423e+00      1.183751378564e+00      2.263840892549e-03      9.999986416562e-01      1.000905233036e+00      2.502263082591e+00
                    18      9.250000000000e-02      1.002545097381e+00      3.007322866214e-03      1.003563856140e+00      2.508914173855e+00      4.533504329503e-06      2.508909640350e+00      1.183816979732e+00      2.540361320797e-03      9.999989109064e-01      1.001016172502e+00      2.502540431254e+00
                    19      9.750000000000e-02      1.002829872956e+00      3.343793149020e-03      1.003963211818e+00      2.509913635843e+00      5.606296649440e-06      2.509908029546e+00      1.183884368083e+00      2.824425458404e-03      9.999991520187e-01      1.001130140708e+00      2.502825351770e+00
                    20      1.025000000000e-01      1.003118393355e+00      3.684562435483e-03      1.004367826845e+00      2.510926376280e+00      6.809167825115e-06      2.510919567112e+00      1.183952604257e+00      3.112086093847e-03      9.999993578231e-01      1.001245549377e+00      2.503113873441e+00
                    21      1.075000000000e-01      1.003405431533e+00      4.023463778881e-03      1.004770373389e+00      2.511934055167e+00      8.121694396851e-06      2.511925933473e+00      1.184020453025e+00      3.398137058024e-03      9.999995265597e-01      1.001360309415e+00      2.503400773538e+00
                    22      1.125000000000e-01      1.003685533684e+00      4.354069117279e-03      1.005163205586e+00      2.512917527858e+00      9.513893961480e-06      2.512908013964e+00      1.184086628692e+00      3.677154197823e-03      9.999996597004e-01      1.001472245890e+00      2.503680614725e+00
                    23      1.175000000000e-01      1.003953190776e+00      4.669891728788e-03      1.005538599285e+00      2.513857445263e+00      1.094704975164e-05      2.513846498213e+00      1.184149835144e+00      3.943666240699e-03      9.999997612154e-01      1.001579165766e+00      2.503947914415e+00
                    24      1.225000000000e-01      1.004202596171e+00      4.964099238410e-03      1.005888411019e+00      2.514733400468e+00      1.237292140280e-05      2.514721027547e+00      1.184208707778e+00      4.191912460873e-03      9.999998361853e-01      1.001678759698e+00      2.504196899246e+00
                    25      1.275000000000e-01      1.004427543217e+00      5.229391900095e-03      1.006203933704e+00      2.515523568070e+00      1.373380881545e-05      2.515509834261e+00      1.184261788692e+00      4.415739788305e-03      9.999998898566e-01      1.001768560111e+00      2.504421400277e+00
                    26      1.325000000000e-01      1.004621969339e+00      5.458643015317e-03      1.006476659776e+00      2.516206616693e+00      1.496725169436e-05      2.516191649441e+00      1.184307654529e+00      4.609142729462e-03      9.999999271644e-01      1.001846157554e+00      2.504615393884e+00
                    27      1.375000000000e-01      1.004780512075e+00      5.645552452072e-03      1.006699061772e+00      2.516763666744e+00      1.601231411240e-05      2.516747654430e+00      1.184345047001e+00      4.766813916574e-03      9.999999523693e-01      1.001909421683e+00      2.504773554208e+00
                    28      1.425000000000e-01      1.004898214137e+00      5.784296692793e-03      1.006864179844e+00      2.517177260596e+00      1.681098655550e-05      2.517160449609e+00      1.184372802835e+00      4.883847956445e-03      9.999999689333e-01      1.001956382924e+00      2.504890957311e+00
                    29      1.475000000000e-01      1.004970611838e+00      5.869631064073e-03      1.006965747060e+00      2.517431679560e+00      1.731190958740e-05      2.517414367650e+00      1.184389874206e+00      4.955826786353e-03      9.999999795376e-01      1.001985267229e+00      2.504963168072e+00
                    30      1.525000000000e-01      1.004994784993e+00      5.898125083895e-03      1.006999663503e+00      2.517516639577e+00      1.748081874187e-05      2.517499158758e+00      1.184395575844e+00      4.979860786537e-03      9.999999861692e-01      1.001994914343e+00      2.504987285856e+00
                    31      1.575000000000e-01      1.004968952570e+00      5.867684272773e-03      1.006963430254e+00      2.517425876035e+00      1.730039918214e-05      2.517408575635e+00      1.184389489445e+00      4.954184687607e-03      9.999999902439e-01      1.001984616220e+00      2.504961540551e+00
                    32      1.625000000000e-01      1.004892311246e+00      5.777359050320e-03      1.006855923602e+00      2.517156579591e+00      1.677058628112e-05      2.517139809005e+00      1.184371425496e+00      4.877995978245e-03      9.999999927337e-01      1.001954052523e+00      2.504885131308e+00
                    33      1.675000000000e-01      1.004766268902e+00      5.628798528459e-03      1.006679125502e+00      2.516713730948e+00      1.591719217442e-05      2.516697813756e+00      1.184341714086e+00      4.752681140514e-03      9.999999942797e-01      1.001903782660e+00      2.504759456650e+00
                    34      1.725000000000e-01      1.004593768620e+00      5.425455097109e-03      1.006437174663e+00      2.516107722049e+00      1.478539158821e-05      2.516092936657e+00      1.184301045858e+00      4.581145238439e-03      9.999999952856e-01      1.001834976585e+00      2.504587441463e+00
                    35      1.775000000000e-01      1.004379598044e+00      5.172951451908e-03      1.006136799179e+00      2.515355436259e+00      1.343831112837e-05      2.515341997948e+00      1.184250545451e+00      4.368122498890e-03      9.999999959915e-01      1.001749538858e+00      2.504373847145e+00
                    36      1.825000000000e-01      1.004129643166e+00      4.878204047588e-03      1.005786268111e+00      2.514477617851e+00      1.194757366550e-05      2.514465670278e+00      1.184191596210e+00      4.119438157811e-03      9.999999965295e-01      1.001649811811e+00      2.504124529528e+00
                    37      1.875000000000e-01      1.003850774752e+00      4.549292373795e-03      1.005395230379e+00      2.513498463826e+00      1.038787848591e-05      2.513488075947e+00      1.184125814061e+00      3.841899500689e-03      9.999999969646e-01      1.001538531090e+00      2.503846327725e+00
                    38      1.925000000000e-01      1.003550944219e+00      4.195575302715e-03      1.004974847288e+00      2.512445950900e+00      8.832679433366e-06      2.512437118221e+00      1.184055070790e+00      3.543395409739e-03      9.999999973214e-01      1.001418864760e+00      2.503547161899e+00
                    39      1.975000000000e-01      1.003238478144e+00      3.826861766315e-03      1.004536801664e+00      2.511349350309e+00      7.346149036536e-06      2.511342004160e+00      1.183981328189e+00      3.232197734207e-03      9.999999976053e-01      1.001294132500e+00      2.503235331250e+00
                    40      2.025000000000e-01      1.002921325021e+00      3.452523450235e-03      1.004092241002e+00      2.510236579876e+00      5.977370064816e-06      2.510230602506e+00      1.183906460598e+00      2.916213032987e-03      9.999999978172e-01      1.001167505319e+00      2.502918763297e+00
                    41      2.075000000000e-01      1.002606653535e+00      3.081020576976e-03      1.003651214411e+00      2.509132794743e+00      4.758715971978e-06      2.509128036027e+00      1.183832160065e+00      2.602582258626e-03      9.999999979594e-01      1.001041845146e+00      2.502604612865e+00
                    42      2.125000000000e-01      1.002301019460e+00      2.720097956670e-03      1.003222907108e+00      2.508060975749e+00      3.707978991227e-06      2.508057267770e+00      1.183759975557e+00      2.297845857975e-03      9.999999980380e-01      1.000919771236e+00      2.502299428090e+00
                    43      2.175000000000e-01      1.002009978059e+00      2.376325889389e-03      1.002815098089e+00      2.507040574359e+00      2.829137463697e-06      2.507037745222e+00      1.183691221140e+00      2.007555557522e-03      9.999999980625e-01      1.000803505002e+00      2.502008762505e+00
                    44      2.225000000000e-01      1.001737626401e+00      2.054557355204e-03      1.002433520125e+00      2.506085914583e+00      2.114270402340e-06      2.506083800313e+00      1.183626867415e+00      1.735815071257e-03      9.999999980457e-01      1.000694686619e+00      2.501736716546e+00
                    45      2.275000000000e-01      1.001486845744e+00      1.758211842331e-03      1.002082200853e+00      2.505207050085e+00      1.547952590983e-06      2.505205502133e+00      1.183567598286e+00      1.485518735793e-03      9.999999980013e-01      1.000594471223e+00      2.501486178056e+00
                    46      2.325000000000e-01      1.001259491552e+00      1.489497859436e-03      1.001763730169e+00      2.504410436121e+00      1.110699093050e-06      2.504409325422e+00      1.183513855459e+00      1.258538590457e-03      9.999999979414e-01      1.000503604331e+00      2.501259010827e+00
                    47      2.375000000000e-01      1.001056385430e+00      1.249401796970e-03      1.001479249875e+00      2.503698906015e+00      7.813269365256e-07      2.503698124688e+00      1.183465836217e+00      1.055714291647e-03      9.999999978757e-01      1.000422418208e+00      2.501056045521e+00
                    48      2.425000000000e-01      1.000877325668e+00      1.037699110087e-03      1.001228469222e+00      2.503071711937e+00      5.388820822066e-07      2.503071173055e+00      1.183423495651e+00      8.768620142329e-04      9.999999978116e-01      1.000350835757e+00      2.500877089393e+00
                    49      2.475000000000e-01      1.000721431139e+00      8.533600412201e-04      1.001010147055e+00      2.502525732011e+00      3.643743614796e-07      2.502525367636e+00      1.183386627814e+00      7.211168532442e-04      9.999999977536e-01      1.000288507777e+00      2.500721269443e+00
                    50      2.525000000000e-01      1.000587507715e+00      6.949825783727e-04      1.000822605138e+00      2.502056754487e+00      2.416422754643e-07      2.502056512845e+00      1.183354952301e+00      5.872984914807e-04      9.999999977042e-01      1.000234959383e+00      2.500587398457e+00
                    51      2.575000000000e-01      1.000473921319e+00      5.606423349483e-04      1.000663550391e+00      2.501659033213e+00      1.572343953018e-07      2.501658875979e+00      1.183328084237e+00      4.737843565251e-04      9.999999976639e-01      1.000189539246e+00      2.500473848114e+00
                    52      2.625000000000e-01      1.000378674275e+00      4.479828980090e-04      1.000530181764e+00      2.501325554791e+00      1.003823362739e-07      2.501325454409e+00      1.183305552338e+00      3.785859849334e-04      9.999999976323e-01      1.000151450138e+00      2.500378625345e+00
                    53      2.675000000000e-01      1.000299652058e+00      3.545078852698e-04      1.000419535630e+00      2.501048901931e+00      6.285674987143e-08      2.501048839074e+00      1.183286857327e+00      2.995958951752e-04      9.999999976086e-01      1.000119847658e+00      2.500299619146e+00
                    54      2.725000000000e-01      1.000234717942e+00      2.776932013675e-04      1.000328618134e+00      2.500821583901e+00      3.856580700553e-08      2.500821545335e+00      1.183271494383e+00      2.346825751196e-04      9.999999975912e-01      1.000093878157e+00      2.500234695394e+00
                    55      2.775000000000e-01      1.000182157121e+00      2.155127525285e-04      1.000255026838e+00      2.500637590323e+00      2.322710346295e-08      2.500637567096e+00      1.183259058289e+00      1.821348850184e-04      9.999999975787e-01      1.000072856446e+00      2.500182141114e+00
                    56      2.825000000000e-01      1.000140163506e+00      1.658316299793e-04      1.000196231978e+00      2.500490593696e+00      1.375199200808e-08      2.500490579944e+00      1.183249122062e+00      1.401493792705e-04      9.999999975697e-01      1.000056060614e+00      2.500140151536e+00
