# PPM1D Profile
# model_number = 80
# num_zones = 200
# time = 7.450105568085698e-01
# step = 197
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961303992e-01     -2.227847241857e-10      1.000000001365e+00      2.500000003413e+00      2.481642063524e-20      2.500000003413e+00      1.183218246721e+00      1.882870931066e-10      1.000005418831e+00      1.000003870981e+00      2.500009677452e+00
                     1      7.500000000000e-03      9.999963581317e-01     -2.420711320713e-10      1.000000001360e+00      2.500000003401e+00      2.929910978724e-20      2.500000003401e+00      1.183218111989e+00      2.045870745372e-10      1.000005099998e+00      1.000003643242e+00      2.500009108105e+00
                     2      1.250000000000e-02      9.999967883688e-01     -2.624306990529e-10      1.000000001352e+00      2.500000003379e+00      3.443482531037e-20      2.500000003379e+00      1.183217857451e+00      2.217940655648e-10      1.000004497653e+00      1.000003212993e+00      2.500008032483e+00
                     3      1.750000000000e-02      9.999973803822e-01     -2.843594166897e-10      1.000000001338e+00      2.500000003344e+00      4.043003301855e-20      2.500000003344e+00      1.183217507201e+00      2.403272559433e-10      1.000003668814e+00      1.000002620962e+00      2.500006552406e+00
                     4      2.250000000000e-02      9.999980801222e-01     -3.087531145388e-10      1.000000001319e+00      2.500000003298e+00      4.766415135918e-20      2.500000003298e+00      1.183217093217e+00      2.609437577506e-10      1.000002689154e+00      1.000001921201e+00      2.500004803001e+00
                     5      2.750000000000e-02      9.999988266094e-01     -3.361486743796e-10      1.000000001294e+00      2.500000003236e+00      5.649789934941e-20      2.500000003236e+00      1.183216651574e+00      2.840973155107e-10      1.000001644044e+00      1.000001174686e+00      2.500002936716e+00
                     6      3.250000000000e-02      9.999995622852e-01     -3.675063041911e-10      1.000000001264e+00      2.500000003160e+00      6.753041225103e-20      2.500000003160e+00      1.183216216323e+00      3.105994484533e-10      1.000000614065e+00      1.000000438979e+00      2.500001097448e+00
                     7      3.750000000000e-02      1.000000232686e+00     -4.034043104489e-10      1.000000001227e+00      2.500000003066e+00      8.136753777743e-20      2.500000003066e+00      1.183215819687e+00      3.409389088084e-10      9.999996754665e-01      9.999997685408e-01      2.499999421352e+00
                     8      4.250000000000e-02      1.000000800091e+00     -4.448748459608e-10      1.000000001182e+00      2.500000002955e+00      9.895689345883e-20      2.500000002955e+00      1.183215483979e+00      3.759880190756e-10      9.999988810551e-01      9.999992010912e-01      2.499998002728e+00
                     9      4.750000000000e-02      1.000001237874e+00     -4.924905229879e-10      1.000000001129e+00      2.500000002822e+00      1.212736077377e-19      2.500000002822e+00      1.183215224952e+00      4.162307183022e-10      9.999982681075e-01      9.999987632561e-01      2.499996908140e+00
                    10      5.250000000000e-02      1.000001537320e+00     -5.472110950753e-10      1.000000001067e+00      2.500000002667e+00      1.497202214544e-19      2.500000002667e+00      1.183215047761e+00      4.624781404790e-10      9.999978488223e-01      9.999984637489e-01      2.499996159372e+00
                    11      5.750000000000e-02      1.000001698695e+00     -6.092996789195e-10      1.000000000995e+00      2.500000002488e+00      1.856233646826e-19      2.500000002488e+00      1.183214952249e+00      5.149526531604e-10      9.999976228274e-01      9.999983023034e-01      2.499995755758e+00
                    12      6.250000000000e-02      1.000001739341e+00     -6.791066445773e-10      1.000000000915e+00      2.500000002287e+00      2.305933184342e-19      2.500000002287e+00      1.183214928154e+00      5.739503689634e-10      9.999975658426e-01      9.999982615769e-01      2.499995653942e+00
                    13      6.750000000000e-02      1.000001677758e+00     -7.556619496296e-10      1.000000000825e+00      2.500000002063e+00      2.855129700798e-19      2.500000002063e+00      1.183214964535e+00      6.386514473529e-10      9.999976519693e-01      9.999983230704e-01      2.499995807676e+00
                    14      7.250000000000e-02      1.000001549272e+00     -8.370542332266e-10      1.000000000730e+00      2.500000001826e+00      3.503304374375e-19      2.500000001826e+00      1.183215040491e+00      7.074404943999e-10      9.999978317538e-01      9.999984514608e-01      2.499996128652e+00
                    15      7.750000000000e-02      1.000001374534e+00     -9.181640556482e-10      1.000000000635e+00      2.500000001587e+00      4.215131959256e-19      2.500000001587e+00      1.183215143811e+00      7.759907912359e-10      9.999980762903e-01      9.999986261026e-01      2.499996565257e+00
                    16      8.250000000000e-02      1.000001176236e+00     -9.898879539872e-10      1.000000000551e+00      2.500000001377e+00      4.899396570086e-19      2.500000001377e+00      1.183215261076e+00      8.366085078105e-10      9.999983538224e-01      9.999988243160e-01      2.499997060790e+00
                    17      8.750000000000e-02      1.000000973873e+00     -1.034715451368e-09      1.000000000498e+00      2.500000001245e+00      5.353185539818e-19      2.500000001245e+00      1.183215380764e+00      8.744945917623e-10      9.999986370776e-01      9.999990266262e-01      2.499997566565e+00
                    18      9.250000000000e-02      1.000000781957e+00     -1.022565792610e-09      1.000000000513e+00      2.500000001283e+00      5.228208089316e-19      2.500000001283e+00      1.183215494312e+00      8.642261680364e-10      9.999989057739e-01      9.999992185565e-01      2.499998046391e+00
                    19      9.750000000000e-02      1.000000610073e+00     -9.007934493660e-10      1.000000000657e+00      2.500000001643e+00      4.057146667258e-19      2.500000001643e+00      1.183215596085e+00      7.613096483402e-10      9.999991465558e-01      9.999993905847e-01      2.499998476462e+00
                    20      1.025000000000e-01      1.000000463413e+00     -5.813769015336e-10      1.000000001036e+00      2.500000002590e+00      1.689996291350e-19      2.500000002590e+00      1.183215683074e+00      4.913532755272e-10      9.999993522581e-01      9.999995376231e-01      2.499998844058e+00
                    21      1.075000000000e-01      1.000000343378e+00      8.293783721597e-11      1.000000001822e+00      2.500000004555e+00      3.439343602028e-21      2.500000004555e+00      1.183215754552e+00      7.009527797181e-11      9.999995210923e-01      9.999996584436e-01      2.499999146109e+00
                    22      1.125000000000e-01      1.000000249142e+00      1.332754929179e-09      1.000000003301e+00      2.500000008253e+00      8.881180718927e-19      2.500000008253e+00      1.183215811178e+00      1.126383637361e-09      9.999996545022e-01      9.999997541590e-01      2.499999385398e+00
                    23      1.175000000000e-01      1.000000178236e+00      3.558664569361e-09      1.000000005935e+00      2.500000014837e+00      6.332047887210e-18      2.500000014837e+00      1.183215854685e+00      3.007620761055e-09      9.999997564045e-01      9.999998276988e-01      2.499999569247e+00
                    24      1.225000000000e-01      1.000000127594e+00      7.384851536192e-09      1.000000010463e+00      2.500000026156e+00      2.726801958504e-17      2.500000026156e+00      1.183215887324e+00      6.241339061880e-09      9.999998318306e-01      9.999998828683e-01      2.499999707171e+00
                    25      1.275000000000e-01      1.000000094333e+00      1.379975258925e-08      1.000000018053e+00      2.500000045132e+00      9.521659474432e-17      2.500000045132e+00      1.183215911492e+00      1.166292005983e-08      9.999998859867e-01      9.999999237198e-01      2.499999809300e+00
                    26      1.325000000000e-01      1.000000076260e+00      2.434839587162e-08      1.000000030535e+00      2.500000076336e+00      2.964222133658e-16      2.500000076336e+00      1.183215929568e+00      2.057815083719e-08      9.999999237700e-01      9.999999542742e-01      2.499999885685e+00
