# PPM1D Profile
# model_number = 107
# num_zones = 200
# time = 9.946753679852526e-01
# step = 263
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961306716e-01     -5.076385274188e-10      1.000000001746e+00      2.500000004366e+00      1.288479387031e-19      2.500000004366e+00      1.183218246785e+00      4.290320309022e-10      1.000005418831e+00      1.000003871090e+00      2.500009677724e+00
                     1      7.500000000000e-03      9.999963586940e-01     -2.765874277090e-10      1.000000002148e+00      2.500000005369e+00      3.825016330228e-20      2.500000005369e+00      1.183218112122e+00      2.337586154872e-10      1.000005099998e+00      1.000003643467e+00      2.500009108667e+00
                     2      1.250000000000e-02      9.999967889524e-01     -3.911246583152e-10      1.000000002169e+00      2.500000005422e+00      7.648900356045e-20      2.500000005422e+00      1.183217857589e+00      3.305601380224e-10      1.000004497653e+00      1.000003213227e+00      2.500008033066e+00
                     3      1.750000000000e-02      9.999973809347e-01     -6.047816102859e-10      1.000000002111e+00      2.500000005278e+00      1.828799190943e-19      2.500000005278e+00      1.183217507332e+00      5.111330812283e-10      1.000003668814e+00      1.000002621183e+00      2.500006552958e+00
                     4      2.250000000000e-02      9.999980808018e-01     -6.818456034134e-10      1.000000002270e+00      2.500000005676e+00      2.324562673166e-19      2.500000005676e+00      1.183217093378e+00      5.762641591552e-10      1.000002689154e+00      1.000001921472e+00      2.500004803681e+00
                     5      2.750000000000e-02      9.999988274197e-01     -8.294041409551e-10      1.000000002429e+00      2.500000006072e+00      3.439552112012e-19      2.500000006072e+00      1.183216651765e+00      7.009740267919e-10      1.000001644044e+00      1.000001175010e+00      2.500002937526e+00
                     6      3.250000000000e-02      9.999995632513e-01     -1.060318883062e-09      1.000000002617e+00      2.500000006542e+00      5.621378213758e-19      2.500000006542e+00      1.183216216552e+00      8.961328185238e-10      1.000000614065e+00      1.000000439366e+00      2.500001098414e+00
                     7      3.750000000000e-02      1.000000233911e+00     -1.349268128457e-09      1.000000002941e+00      2.500000007354e+00      9.102624541545e-19      2.500000007354e+00      1.183215819977e+00      1.140339831226e-09      9.999996754665e-01      9.999997690307e-01      2.499999422577e+00
                     8      4.250000000000e-02      1.000000801701e+00     -1.779805445123e-09      1.000000003435e+00      2.500000008589e+00      1.583854981021e-18      2.500000008589e+00      1.183215484360e+00      1.504210744914e-09      9.999988810551e-01      9.999992017351e-01      2.499998004338e+00
                     9      4.750000000000e-02      1.000001240069e+00     -2.450087017444e-09      1.000000004201e+00      2.500000010502e+00      3.001466918544e-18      2.500000010502e+00      1.183215225471e+00      2.070702746804e-09      9.999982681075e-01      9.999987641339e-01      2.499996910335e+00
