# PPM1D Profile
# model_number = 82
# num_zones = 200
# time = 7.639134063761337e-01
# step = 202
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      9.999961304465e-01     -2.171739549673e-10      1.000000001431e+00      2.500000003578e+00      2.358217210525e-20      2.500000003578e+00      1.183218246732e+00      1.835451368056e-10      1.000005418831e+00      1.000003871000e+00      2.500009677499e+00
                     1      7.500000000000e-03      9.999963581810e-01     -2.249450174998e-10      1.000000001429e+00      2.500000003574e+00      2.530003831050e-20      2.500000003574e+00      1.183218112001e+00      1.901128923047e-10      1.000005099998e+00      1.000003643262e+00      2.500009108154e+00
                     2      1.250000000000e-02      9.999967884215e-01     -2.331510948812e-10      1.000000001425e+00      2.500000003564e+00      2.717962923237e-20      2.500000003564e+00      1.183217857463e+00      1.970483232742e-10      1.000004497653e+00      1.000003213014e+00      2.500008032536e+00
                     3      1.750000000000e-02      9.999973804407e-01     -2.422363058487e-10      1.000000001420e+00      2.500000003549e+00      2.933913707980e-20      2.500000003549e+00      1.183217507215e+00      2.047267762449e-10      1.000003668814e+00      1.000002620986e+00      2.500006552464e+00
                     4      2.250000000000e-02      9.999980801879e-01     -2.524311321427e-10      1.000000001411e+00      2.500000003528e+00      3.186067707079e-20      2.500000003528e+00      1.183217093233e+00      2.133430404162e-10      1.000002689154e+00      1.000001921227e+00      2.500004803067e+00
                     5      2.750000000000e-02      9.999988266851e-01     -2.642600337413e-10      1.000000001400e+00      2.500000003501e+00      3.491664174820e-20      2.500000003501e+00      1.183216651591e+00      2.233403606903e-10      1.000001644044e+00      1.000001174717e+00      2.500002936792e+00
                     6      3.250000000000e-02      9.999995623725e-01     -2.779967130778e-10      1.000000001386e+00      2.500000003466e+00      3.864106933062e-20      2.500000003466e+00      1.183216216344e+00      2.349500532851e-10      1.000000614065e+00      1.000000439014e+00      2.500001097535e+00
                     7      3.750000000000e-02      1.000000232788e+00     -2.942312258577e-10      1.000000001369e+00      2.500000003423e+00      4.328601721133e-20      2.500000003423e+00      1.183215819711e+00      2.486708011812e-10      9.999996754665e-01      9.999997685815e-01      2.499999421454e+00
                     8      4.250000000000e-02      1.000000800210e+00     -3.133172742609e-10      1.000000001348e+00      2.500000003370e+00      4.908389645252e-20      2.500000003370e+00      1.183215484007e+00      2.648015331914e-10      9.999988810551e-01      9.999992011386e-01      2.499998002847e+00
                     9      4.750000000000e-02      1.000001238013e+00     -3.359891416035e-10      1.000000001323e+00      2.500000003306e+00      5.644442151653e-20      2.500000003306e+00      1.183215224985e+00      2.839628281556e-10      9.999982681075e-01      9.999987633115e-01      2.499996908279e+00
                    10      5.250000000000e-02      1.000001537481e+00     -3.626921570028e-10      1.000000001292e+00      2.500000003229e+00      6.577290150010e-20      2.500000003229e+00      1.183215047799e+00      3.065310550922e-10      9.999978488223e-01      9.999984638131e-01      2.499996159533e+00
                    11      5.750000000000e-02      1.000001698881e+00     -3.942607583599e-10      1.000000001255e+00      2.500000003138e+00      7.772090482957e-20      2.500000003138e+00      1.183214952293e+00      3.332114402341e-10      9.999976228274e-01      9.999983023777e-01      2.499995755944e+00
