# PPM1D Profile
# model_number = 53
# num_zones = 200
# time = 4.954922877841758e-01
# step = 131
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.002229311130e+00      2.190812426201e-04      1.003127583931e+00      2.507818983879e+00      2.405179510110e-08      2.507818959827e+00      1.183746081141e+00      1.850745240981e-04      1.000005141363e+00      1.000896274726e+00      2.502240686814e+00
                     1      7.500000000000e-03      1.002269664341e+00      6.616916178285e-04      1.003183888197e+00      2.507959939907e+00      2.194147687002e-07      2.507959720493e+00      1.183755470950e+00      5.589766079795e-04      1.000004900809e+00      1.000912153574e+00      2.502280383934e+00
                     2      1.250000000000e-02      1.002349909235e+00      1.103331978543e-03      1.003295796679e+00      2.508240101799e+00      6.101010484010e-07      2.508239491698e+00      1.183774107618e+00      9.320460478415e-04      1.000004363932e+00      1.000943669906e+00      2.502359174764e+00
                     3      1.750000000000e-02      1.002467427990e+00      1.543545146401e-03      1.003459704492e+00      2.508650455436e+00      1.194205172092e-06      2.508649261231e+00      1.183801405566e+00      1.303888590724e-03      1.000003589046e+00      1.000989834158e+00      2.502474585394e+00
                     4      2.250000000000e-02      1.002619255513e+00      1.981325276076e-03      1.003671539632e+00      2.509180817046e+00      1.967966064814e-06      2.509178849080e+00      1.183836707137e+00      1.673647441518e-03      1.000002652248e+00      1.001049535118e+00      2.502623837796e+00
                     5      2.750000000000e-02      1.002800662316e+00      2.414378788122e-03      1.003924768864e+00      2.509814844935e+00      2.922775311565e-06      2.509811922160e+00      1.183878943954e+00      2.039379786634e-03      1.000001640178e+00      1.001120967098e+00      2.502802417745e+00
                     6      3.250000000000e-02      1.003006910820e+00      2.840963764011e-03      1.004212842761e+00      2.510536154574e+00      4.047672055747e-06      2.510532106902e+00      1.183927043088e+00      2.399610500155e-03      1.000000634836e+00      1.001202316682e+00      2.503005791706e+00
                     7      3.750000000000e-02      1.003232064549e+00      3.258077292905e-03      1.004527526059e+00      2.511324139835e+00      5.324688115183e-06      2.511318815147e+00      1.183979646437e+00      2.751801775233e-03      9.999997139266e-01      1.001291287984e+00      2.503228219960e+00
                     8      4.250000000000e-02      1.003469584963e+00      3.661930279868e-03      1.004859713390e+00      2.512156011605e+00      6.728129791943e-06      2.512149283475e+00      1.184035240485e+00      3.092754467654e-03      9.999989313270e-01      1.001385321935e+00      2.503463304838e+00
                     9      4.750000000000e-02      1.003712390154e+00      4.048168926865e-03      1.005199519560e+00      2.513007023154e+00      8.224254545680e-06      2.512998798899e+00      1.184092175731e+00      3.418795436567e-03      9.999983259959e-01      1.001481629020e+00      2.503704072551e+00
                    10      5.250000000000e-02      1.003953449937e+00      4.412122157424e-03      1.005537102029e+00      2.513852526963e+00      9.771891518987e-06      2.513842755072e+00      1.184148800700e+00      3.725986256807e-03      9.999979108096e-01      1.001577415857e+00      2.503943539643e+00
                    11      5.750000000000e-02      1.004185522025e+00      4.748620121188e-03      1.005862304919e+00      2.514667084185e+00      1.132188701831e-05      2.514655762298e+00      1.184203407996e+00      4.009969984146e-03      9.999976865450e-01      1.001669793935e+00      2.504174484838e+00
                    12      6.250000000000e-02      1.004401090860e+00      5.051800095783e-03      1.006164560558e+00      2.515424217896e+00      1.281650152888e-05      2.515411401394e+00      1.184254212372e+00      4.265807157793e-03      9.999976292506e-01      1.001755742515e+00      2.504389356287e+00
                    13      6.750000000000e-02      1.004592942828e+00      5.315793493019e-03      1.006433720277e+00      2.516098494416e+00      1.419372313968e-05      2.516084300693e+00      1.184299500179e+00      4.488555042211e-03      9.999977138138e-01      1.001832361518e+00      2.504580903795e+00
                    14      7.250000000000e-02      1.004754681500e+00      5.535300820283e-03      1.006660754213e+00      2.516667278151e+00      1.539261824859e-05      2.516651885533e+00      1.184337736443e+00      4.673751962770e-03      9.999978902188e-01      1.001897052831e+00      2.504742632077e+00
                    15      7.750000000000e-02      1.004880107789e+00      5.704918331303e-03      1.006836930728e+00      2.517108679280e+00      1.635246080480e-05      2.517092326819e+00      1.184367446248e+00      4.816848309515e-03      9.999981307754e-01      1.001947319808e+00      2.504868299520e+00
                    16      8.250000000000e-02      1.004963960687e+00      5.820013775226e-03      1.006954830088e+00      2.517404095570e+00      1.702035120087e-05      2.517387075219e+00      1.184387373229e+00      4.913944463422e-03      9.999984036136e-01      1.001981035618e+00      2.504952589044e+00
                    17      8.750000000000e-02      1.005002616319e+00      5.877590355936e-03      1.007009335554e+00      2.517540698330e+00      1.735944455885e-05      2.517523338885e+00      1.184396649143e+00      4.962518561824e-03      9.999986816190e-01      1.001996730359e+00      2.504991825897e+00
                    18      9.250000000000e-02      1.004992998455e+00      5.875040679765e-03      1.006996108685e+00      2.517507615933e+00      1.734422091889e-05      2.517490271712e+00      1.184394538045e+00      4.960374681787e-03      9.999989447795e-01      1.001993158394e+00      2.504982895984e+00
                    19      9.750000000000e-02      1.004934013362e+00      5.811874739882e-03      1.006913602771e+00      2.517300979202e+00      1.697227427140e-05      2.517284006927e+00      1.184380774101e+00      4.907099867686e-03      9.999991799900e-01      1.001969870043e+00      2.504924675108e+00
                    20      1.025000000000e-01      1.004825849184e+00      5.688929861276e-03      1.006762079586e+00      2.516921459019e+00      1.626005318888e-05      2.516905198966e+00      1.184355395923e+00      4.803397595739e-03      9.999993803312e-01      1.001926931322e+00      2.504817328306e+00
                    21      1.075000000000e-01      1.004670821078e+00      5.509400309871e-03      1.006544793727e+00      2.516377231950e+00      1.524763375179e-05      2.516361984317e+00      1.184318945425e+00      4.651956579058e-03      9.999995442569e-01      1.001865260351e+00      2.504663150878e+00
                    22      1.125000000000e-01      1.004472900684e+00      5.278312392657e-03      1.006267329155e+00      2.515682315486e+00      1.399259966474e-05      2.515668322886e+00      1.184272355954e+00      4.457008868037e-03      9.999996733316e-01      1.001786437911e+00      2.504466094778e+00
                    23      1.175000000000e-01      1.004237267162e+00      5.002022711726e-03      1.005936967237e+00      2.514854981216e+00      1.256312430635e-05      2.514842418092e+00      1.184216846584e+00      4.223907746420e-03      9.999997715787e-01      1.001692528380e+00      2.504231320951e+00
                    24      1.225000000000e-01      1.003970334457e+00      4.688273354607e-03      1.005562721714e+00      2.513917837872e+00      1.103358731491e-05      2.513906804285e+00      1.184153928309e+00      3.959175612669e-03      9.999998440458e-01      1.001586089950e+00      2.503965224874e+00
                    25      1.275000000000e-01      1.003679529150e+00      4.345949693332e-03      1.005155024279e+00      2.512897039084e+00      9.478387514829e-06      2.512887560696e+00      1.184085351766e+00      3.670301036029e-03      9.999998958888e-01      1.001470085904e+00      2.503675214761e+00
                    26      1.325000000000e-01      1.003372942535e+00      3.984686377470e-03      1.004725234495e+00      2.511821051877e+00      7.965640091290e-06      2.511813086237e+00      1.184013025488e+00      3.365407551853e-03      9.999999319263e-01      1.001347746090e+00      2.503369365225e+00
                    27      1.375000000000e-01      1.003058408013e+00      3.613791238336e-03      1.004284344800e+00      2.510717411713e+00      6.549714177155e-06      2.510710861999e+00      1.183938798387e+00      3.052346323357e-03      9.999999562879e-01      1.001222198804e+00      2.503055497010e+00
                    28      1.425000000000e-01      1.002743284671e+00      3.241998450823e-03      1.003842676759e+00      2.509611961590e+00      5.269693698341e-06      2.509606691896e+00      1.183864408685e+00      2.738487978048e-03      9.999999723099e-01      1.001096384393e+00      2.502740960984e+00
